,AHAS,Hang Seng Index
2018/9/6,1.787575868,1.298320714
2018/9/7,1.78576136,1.298255738
2018/9/10,1.763052859,1.28092623
2018/9/11,1.761059445,1.271739497
2018/9/12,1.754830873,1.268008875
2018/9/13,1.786131651,1.300230064
2018/9/14,1.794957649,1.313317803
2018/9/17,1.784694139,1.296300663
2018/9/18,1.799764839,1.303607406
2018/9/19,1.810607816,1.319139709
2018/9/20,1.831238561,1.322523307
2018/9/21,1.853374187,1.345429254
2018/9/24,1.831531047,1.323568709
2018/9/26,1.840009436,1.338849287
2018/9/27,1.85208945,1.333978446
2018/9/28,1.873861511,1.337484779
2018/10/2,1.84382422,1.305615425
2018/10/3,1.859909407,1.303925069
2018/10/4,1.840481042,1.281429196
2018/10/5,1.82936647,1.278960085
2018/10/8,1.786704174,1.261151674
2018/10/9,1.78955313,1.259724113
2018/10/10,1.806967771,1.260694431
2018/10/11,1.745172561,1.216091583
2018/10/12,1.759778531,1.241847357
2018/10/15,1.747746752,1.224692082
2018/10/16,1.75023226,1.225519933
2018/10/18,1.751823152,1.225148844
2018/10/19,1.750033374,1.230291624
2018/10/22,1.782538073,1.258773048
2018/10/23,1.749613284,1.219950714
2018/10/24,1.754709728,1.215293093
2018/10/25,1.744845549,1.203004327
2018/10/26,1.738192035,1.189680266
2018/10/29,1.71823044,1.194224299
2018/10/30,1.69520945,1.183322183
2018/10/31,1.730662616,1.202293434
2018/11/1,1.738510525,1.223293401
2018/11/2,1.802483254,1.274810243
2018/11/5,1.783473536,1.248243946
2018/11/6,1.79650132,1.257223717
2018/11/7,1.803806009,1.258510254
2018/11/8,1.809376636,1.262362164
2018/11/9,1.777598402,1.232241886
2018/11/12,1.782962569,1.233746456
2018/11/13,1.788412436,1.24143247
2018/11/14,1.78469883,1.234769236
2018/11/15,1.803770139,1.256375651
2018/11/16,1.802692719,1.260235263
2018/11/19,1.818027719,1.269306482
2018/11/20,1.791101859,1.24371724
2018/11/21,1.800528373,1.250028637
2018/11/22,1.791210796,1.25233603
2018/11/23,1.775163805,1.247920987
2018/11/26,1.784408904,1.269507669
2018/11/27,1.781693352,1.267379323
2018/11/28,1.795040952,1.284253996
2018/11/29,1.791160621,1.273110263
2018/11/30,1.797918191,1.275792113
2018/12/3,1.828241008,1.308294387
2018/12/4,1.840374211,1.312067844
2018/12/5,1.816271355,1.290853696
2018/12/6,1.741750644,1.258928511
2018/12/7,1.730286751,1.254470632
2018/12/10,1.694129273,1.239483652
2018/12/11,1.706203798,1.240412096
2018/12/12,1.720413347,1.260388319
2018/12/13,1.767399066,1.276639216
2018/12/14,1.735607907,1.255964132
2018/12/17,1.721634745,1.255636361
2018/12/18,1.69700729,1.242461507
2018/12/19,1.692010579,1.244922918
2018/12/20,1.663047494,1.233281993
2018/12/21,1.637754738,1.239533708
2018/12/24,1.618427905,1.234622437
2018/12/27,1.613442446,1.226319868
2018/12/28,1.640333893,1.22753854
2018/12/31,1.67895361,1.243975222
2019/1/2,1.624308323,1.209544826
2019/1/3,1.605508122,1.206368672
2019/1/4,1.622223936,1.233402321
2019/1/7,1.645755527,1.243493913
2019/1/8,1.654581485,1.245407114
2019/1/9,1.668935716,1.27365366
2019/1/10,1.674976981,1.276498673
2019/1/11,1.69305509,1.283518075
2019/1/14,1.673869562,1.265760684
2019/1/15,1.702127839,1.291364364
2019/1/16,1.715113041,1.29482064
2019/1/17,1.708194053,1.287770916
2019/1/18,1.725960587,1.303903411
2019/1/21,1.746335646,1.308992284
2019/1/22,1.733087576,1.299794962
