,AQM_HUABAO_Enhanced_50,AQM_HUABAO_50,Benchmark_50
2017/9/29,1.167973844,1.150523766,1.115195103
2017/10/2,1.169253082,1.152125513,1.116334286
2017/10/3,1.172318291,1.154083009,1.118825703
2017/10/4,1.172429071,1.154042304,1.119444921
2017/10/5,1.173163985,1.155319955,1.120373227
2017/10/6,1.17175697,1.154313656,1.119320196
2017/10/9,1.172491267,1.154313656,1.118915647
2017/10/10,1.177151449,1.157162055,1.122720533
2017/10/11,1.179327402,1.158568824,1.123842102
2017/10/12,1.179725316,1.158426654,1.124395054
2017/10/13,1.183079091,1.160705776,1.126950709
2017/10/16,1.181768808,1.160401396,1.12716762
2017/10/17,1.181320685,1.159926932,1.126365526
2017/10/18,1.182736551,1.16060556,1.126189947
2017/10/19,1.182150831,1.160326193,1.126752885
2017/10/20,1.182725562,1.161329944,1.126205072
2017/10/23,1.180225434,1.159321264,1.125001527
2017/10/24,1.181187569,1.159871135,1.124493789
2017/10/25,1.179563179,1.156498787,1.121540859
2017/10/26,1.177382443,1.156309089,1.121508158
2017/10/27,1.181975658,1.160625489,1.124807879
2017/10/30,1.181029772,1.160460189,1.12676368
2017/10/31,1.183549395,1.162554361,1.12743547
2017/11/1,1.183254654,1.162969551,1.129192238
2017/11/2,1.183706701,1.163722632,1.130348072
2017/11/3,1.183463824,1.164512007,1.130979918
2017/11/6,1.188557228,1.166316251,1.132310646
2017/11/7,1.185320278,1.164152807,1.132739813
2017/11/8,1.186581565,1.165121625,1.133250402
2017/11/9,1.183209841,1.161334805,1.130435334
2017/11/10,1.182387236,1.159940615,1.127696941
2017/11/13,1.181518149,1.159304923,1.126233212
2017/11/14,1.177787734,1.158115781,1.125397438
2017/11/15,1.175251775,1.155700318,1.123079613
2017/11/16,1.182760016,1.162252032,1.127363904
2017/11/17,1.181974318,1.161724087,1.127582124
2017/11/20,1.182709095,1.162492883,1.127947068
2017/11/21,1.187217616,1.167068312,1.132341552
2017/11/22,1.188425259,1.168601192,1.134677184
2017/11/24,1.188113258,1.171021258,1.1366368
2017/11/27,1.18485739,1.16848043,1.13530893
2017/11/28,1.190493251,1.173441844,1.138160745
2017/11/29,1.186590423,1.171311309,1.136800129
2017/11/30,1.186406486,1.173416142,1.137581765
2017/12/1,1.187284567,1.172543325,1.136644058
2017/12/4,1.185470397,1.170212857,1.13688296
2017/12/5,1.182948208,1.168265419,1.135610136
2017/12/6,1.183188463,1.167871503,1.133772487
2017/12/7,1.183326858,1.169825867,1.134054669
