,AQM_HUABAO_50,Benchmark_50
2019/3/19,1.236750559,1.156980919
2019/3/20,1.237471551,1.156496088
2019/3/21,1.243730471,1.161076361
2019/3/22,1.231936737,1.154117498
2019/3/25,1.232044154,1.152491365
2019/3/26,1.236465161,1.157017786
2019/3/27,1.234331263,1.155439141
2019/3/28,1.23618996,1.155468275
2019/3/29,1.240283046,1.159145153
2019/4/1,1.246460556,1.164251734
2019/4/2,1.247518361,1.164748292
2019/4/3,1.249584096,1.167431716
2019/4/4,1.250686689,1.167752101
2019/4/5,1.254068667,1.170420785
2019/4/8,1.254603569,1.171145418
2019/4/9,1.251389289,1.169530789
2019/4/10,1.255445621,1.171610953
2019/4/11,1.254863546,1.170423527
2019/4/12,1.258733867,1.172548475
2019/4/15,1.258147913,1.17309279
2019/4/16,1.258151363,1.17319282
2019/4/17,1.256802134,1.172961901
2019/4/18,1.257939375,1.173335159
