datetime,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest,US_Trading_factortest
2019-09-10,0.257528632861868,0.9891863011510407,0.014291676326529723,0.08478874994766539,0.03157382250410734,0.7284817974976896,0.8444286678344262,0.7320993013114638,0.5614227449451237,0.7303907258065228,0.5681357097536128,0.6682488734566596,0.6598093915866634,0.4726787531348353,0.34685374754977194,0.5654306500512225,0.11547687447215993,0.2865400935666087,0.0517428748790878,0.2933309144765981,0.12263448789146891
2019-09-11,0.2739055455947532,1.016301922281884,0.028736311333435793,0.1027837987677025,0.05924667796554739,0.74280701706115,0.8439223539384573,0.7656191184731622,0.5766427145393322,0.7646173389028659,0.5899327588974379,0.7077840965623792,0.6666921565121879,0.4804053919771638,0.3807974336507478,0.5856801862020817,0.1384409215340321,0.29251637755383864,0.05492804323306166,0.2996220010622477,0.12495626771341506
2019-09-12,0.26236535791406057,1.0123005490321941,0.03144837047522575,0.10096044630903189,0.044102056563844805,0.7447213124006149,0.8438145225048352,0.740776898361792,0.5697380877042555,0.7517549184467975,0.5745684137243929,0.6899779576626919,0.664963798323623,0.47994225614761277,0.3622409269112974,0.5834434731505564,0.12342705081271799,0.2942385939518337,0.054908651470165326,0.29210157467021003,0.12694289989675633
2019-09-13,0.26215823133601557,1.0136359182084353,0.03369316501934683,0.0973225280620309,0.04358006263965386,0.7485488855875715,0.8399315542573307,0.7223681182343304,0.5532631083772899,0.7371296785269896,0.5572986091077525,0.6752300513532261,0.6577821755337911,0.47168098063024844,0.36094820155809604,0.587181086034156,0.1224726223436794,0.2966135675578543,0.057414948288281975,0.2961816040180565,0.12929508719693894
2019-09-14,0.26215823133601557,1.0136359182084353,0.03369316501934683,0.0973225280620309,0.04358006263965386,0.7485488855875715,0.8399315542573307,0.7223681182343304,0.5532631083772899,0.7371296785269896,0.5572986091077525,0.6752300513532261,0.6577821755337911,0.47168098063024844,0.36094820155809604,0.587181086034156,0.1224726223436794,0.2966135675578543,0.057414948288281975,0.2961816040180565,0.12929508719693894
2019-09-15,0.26215823133601557,1.0136359182084353,0.03369316501934683,0.0973225280620309,0.04358006263965386,0.7485488855875715,0.8399315542573307,0.7223681182343304,0.5532631083772899,0.7371296785269896,0.5572986091077525,0.6752300513532261,0.6577821755337911,0.47168098063024844,0.36094820155809604,0.587181086034156,0.1224726223436794,0.2966135675578543,0.057414948288281975,0.2961816040180565,0.12929508719693894
2019-09-16,0.2581877394737957,1.0061086210650525,0.03331485743455631,0.0967419680322208,0.03897270459009028,0.7546901498007763,0.829970807847376,0.7276837338548565,0.5419472722098007,0.7429736114080274,0.5428397280680339,0.6714700183453419,0.6424318431955325,0.45535703085051327,0.3615359084126595,0.585108249421527,0.11651903652946305,0.2850630410213326,0.059072366033521506,0.3024117145632452,0.12574458470679017
2019-09-17,0.24955126027408991,1.011865876131269,0.02749610433293337,0.09692560954779794,0.03809588501363059,0.7625839354190831,0.8340039610760948,0.7370940966236377,0.5378538371338317,0.7510048562100131,0.5405426979516283,0.6759975314043789,0.6485788251592144,0.46220559691922447,0.356546338851202,0.5837667037485208,0.11382519623563692,0.28931429023705113,0.06354994831700145,0.3068963408957184,0.13279414813593537
2019-09-18,0.2455087549030035,1.0162541847460225,0.02473833171733686,0.09432250277602572,0.032930743032925536,0.7637569112834892,0.8337324562243587,0.7319559379023772,0.5357359293911435,0.7460800273950252,0.5359730130979878,0.6686839833852232,0.6479905208135794,0.4606705997489833,0.3495497073634004,0.5837403520587223,0.10847715205076014,0.2875759562798528,0.06181857915624156,0.30534570990103393,0.13466673278645147
2019-09-19,0.24823467746029348,1.0101617700541388,0.019348349588624858,0.09202762812516174,0.03332791399939716,0.7619990742376725,0.8299692815382893,0.7241553704448729,0.5397429922801147,0.7453812022451358,0.5372567231124736,0.6629403126228512,0.641383519655818,0.4552058864284887,0.3499004038166651,0.578738490245879,0.10497055101463748,0.286994489422316,0.06002924791833486,0.3039443551739538,0.13387872709770132
