,SmartGlobal Max-Growth,Benchmark-Growth
2019/1/2,1.139642812,1.097953778
2019/1/3,1.129721205,1.090731965
2019/1/4,1.152343134,1.106474178
2019/1/7,1.157480234,1.112458771
2019/1/8,1.162982943,1.116884078
2019/1/9,1.170019752,1.123378389
2019/1/10,1.172829708,1.12563932
2019/1/11,1.171537019,1.12639226
2019/1/14,1.166357238,1.122555683
2019/1/15,1.173753728,1.128576913
2019/1/16,1.176651317,1.12972642
2019/1/17,1.181139465,1.132528266
2019/1/18,1.188486699,1.141037019
2019/1/21,1.188486699,1.14106715
2019/1/22,1.177374451,1.134481694
2019/1/23,1.179658412,1.134682452
2019/1/24,1.183242553,1.137341793
2019/1/25,1.19097362,1.143808669
2019/1/28,1.185211788,1.139655643
2019/1/29,1.185779076,1.140686992
2019/1/30,1.197188532,1.148659669
2019/1/31,1.203600629,1.157056398
2019/2/1,1.203464356,1.156377527
2019/2/4,1.206593246,1.15836743
2019/2/5,1.212333711,1.163840143
2019/2/6,1.20850937,1.162239393
2019/2/7,1.200983917,1.156029431
2019/2/8,1.199723573,1.15388971
2019/2/11,1.201072392,1.153690012
2019/2/12,1.210115758,1.161501832
2019/2/13,1.21181588,1.163529094
2019/2/14,1.212308315,1.162467627
2019/2/15,1.218729667,1.167836892
2019/2/18,1.218729667,1.170292575
