,SmartXray Onshore-Growth,Benchmark-Growth
2018/1/4,1.213643765,0.976655535
2018/1/5,1.214266006,0.977918755
2018/1/8,1.218123801,0.981271762
2018/1/9,1.227482323,0.982307652
2018/1/10,1.228250857,0.983638355
2018/1/11,1.226619445,0.983884732
2018/1/12,1.232212029,0.984627956
2018/1/15,1.231510749,0.981310589
2018/1/16,1.23639857,0.985782393
2018/1/17,1.229314757,0.987187924
2018/1/18,1.231950702,0.992170882
2018/1/19,1.228920155,0.994449389
2018/1/22,1.24294958,0.99706144
2018/1/23,1.249263044,1.004853429
2018/1/24,1.248184275,1.00715483
2018/1/25,1.24169823,1.005276904
2018/1/26,1.244650566,1.007210699
2018/1/29,1.22777499,1.001279045
2018/1/30,1.223580562,0.995471579
2018/1/31,1.229635836,0.994425624
2018/2/1,1.223803367,0.988826796
2018/2/2,1.227758288,0.991471523
2018/2/5,1.22148582,0.995765395
2018/2/6,1.198920657,0.97636011
2018/2/7,1.179563437,0.966212986
2018/2/8,1.178513001,0.958265502
2018/2/9,1.153789786,0.93592766
2018/2/12,1.170903188,0.940658014
2018/2/13,1.179428129,0.94570768
2018/2/14,1.185824363,0.948312835
2018/2/22,1.203762705,0.96038435
2018/2/23,1.204274753,0.96397829
2018/2/26,1.213820782,0.971477644
2018/2/27,1.204631686,0.965745659
2018/2/28,1.198282149,0.960651649
2018/3/1,1.205542735,0.963231505
2018/3/2,1.200344152,0.959911223
2018/3/5,1.199475074,0.96012745
2018/3/6,1.209352999,0.965819434
2018/3/7,1.204787859,0.96283917
2018/3/8,1.215260967,0.965946784
2018/3/9,1.220013012,0.969181467
2018/3/12,1.224285241,0.972760263
2018/3/13,1.216331062,0.969958401
2018/3/14,1.213550844,0.96675553
2018/3/15,1.218679981,0.966855701
2018/3/16,1.211785554,0.963306268
2018/3/19,1.218382005,0.965162919
2018/3/20,1.22119541,0.967432697
2018/3/21,1.215288281,0.966183717
2018/3/22,1.206583791,0.963495474
2018/3/23,1.188566552,0.945597304
2018/3/26,1.189417061,0.942522772
2018/3/27,1.194535195,0.948014458
2018/3/28,1.17971643,0.940552084
2018/3/29,1.18829262,0.947003527
2018/3/30,1.194770407,0.948407348
2018/4/2,1.192384029,0.947732305
2018/4/3,1.189863952,0.94328673
