,SmartXray Offshore-Growth,Benchmark Offshore-Growth
2017/10/12,1.39563459,1.164529424
2017/10/13,1.398372801,1.167323577
2017/10/16,1.399573308,1.167711091
2017/10/17,1.398390721,1.165933629
2017/10/18,1.400438212,1.166359969
2017/10/19,1.400247801,1.168795544
2017/10/20,1.401914888,1.167150113
2017/10/23,1.400791796,1.164956168
2017/10/24,1.402226857,1.164681387
2017/10/25,1.40103081,1.162080456
2017/10/26,1.401877555,1.161629594
2017/10/27,1.404544603,1.164182697
2017/10/30,1.404662179,1.166236215
2017/10/31,1.406455742,1.16718367
2017/11/1,1.406857809,1.168189396
2017/11/2,1.407576545,1.169916403
2017/11/3,1.407968318,1.169925384
2017/11/6,1.411688391,1.170909766
2017/11/7,1.410315373,1.171178214
2017/11/8,1.409973358,1.172810015
2017/11/9,1.408616807,1.169414757
2017/11/10,1.407101722,1.168346871
2017/11/13,1.406090112,1.166276029
2017/11/14,1.402122662,1.166008524
2017/11/15,1.396189098,1.163408592
2017/11/16,1.404138693,1.168585373
2017/11/17,1.404858902,1.168255819
2017/11/20,1.408495945,1.168940373
2017/11/21,1.415912159,1.173281183
2017/11/22,1.415792015,1.176184702
2017/11/23,1.410348386,1.17828732
2017/11/24,1.410316667,1.181154681
2017/11/27,1.406770041,1.180064281
2017/11/28,1.414279897,1.182998667
2017/11/29,1.415318685,1.181898072
2017/11/30,1.415473375,1.186619333
2017/12/1,1.414343832,1.183813941
2017/12/4,1.41572576,1.183475295
2017/12/5,1.413287332,1.181297506
2017/12/6,1.410654899,1.179498181
2017/12/7,1.409900812,1.180682367
2017/12/8,1.416332395,1.183216725
2017/12/11,1.422321233,1.186738141
2017/12/12,1.421034152,1.186323218
2017/12/13,1.422025323,1.188022646
2017/12/14,1.419611475,1.186394767
2017/12/15,1.422336137,1.189091593
2017/12/18,1.428506236,1.196342083
2017/12/19,1.430799651,1.191685788
2017/12/20,1.430997937,1.191175104
2017/12/21,1.435170771,1.192919336
2017/12/22,1.434976488,1.192408875
2017/12/27,1.433478596,1.195699883
2017/12/28,1.436134027,1.19749838
2017/12/29,1.437849369,1.19754784
2018/1/2,1.445994233,1.201932393
2018/1/3,1.451399015,1.205463388
2018/1/4,1.457804834,1.211994719
2018/1/5,1.463369403,1.216296261
2018/1/8,1.464916804,1.216499939
2018/1/9,1.467510101,1.216561361
2018/1/10,1.467036752,1.217705204
2018/1/11,1.471013143,1.221736618
2018/1/12,1.477403958,1.228058165
2018/1/15,1.479033722,1.23328252
2018/1/16,1.480217941,1.231124082
2018/1/17,1.48264493,1.235118987
2018/1/18,1.483327646,1.233395511
2018/1/19,1.486193917,1.237038126
2018/1/22,1.493981435,1.2422221
2018/1/23,1.498027873,1.246792476
2018/1/24,1.499124912,1.249248672
2018/1/25,1.499689952,1.252152061
2018/1/26,1.505774742,1.256066291
2018/1/29,1.497414876,1.248834844
2018/1/30,1.48647809,1.241948753
2018/1/31,1.488161583,1.242390435
2018/2/1,1.488167288,1.241454985
2018/2/2,1.475871471,1.224102228
2018/2/5,1.450432525,1.199873014
2018/2/6,1.443745938,1.198126409
2018/2/7,1.443119829,1.197606507
2018/2/8,1.421576623,1.176377429
2018/2/9,1.416385698,1.178601295
2018/2/12,1.427866688,1.187857221
2018/2/13,1.430982018,1.191151621
2018/2/14,1.44128281,1.20068231
2018/2/15,1.449331782,1.211308976
2018/2/20,1.449021884,1.207832857
2018/2/21,1.447516397,1.203968459
2018/2/22,1.449194704,1.204150101
2018/2/23,1.458165456,1.213573184
2018/2/26,1.469079574,1.22030788
2018/2/27,1.46112953,1.211768375
2018/2/28,1.452297071,1.204082839
2018/3/1,1.44433297,1.194122202
2018/3/2,1.443156864,1.195893495
2018/3/5,1.450100953,1.201787835
2018/3/6,1.455874202,1.206428796
2018/3/7,1.455276766,1.205911634
2018/3/8,1.458984863,1.20876225
2018/3/9,1.470899888,1.216495297
2018/3/12,1.472558154,1.219073896
2018/3/13,1.46745219,1.216675196
2018/3/14,1.462088644,1.21352694
2018/3/15,1.462564094,1.212686773
2018/3/16,1.461495966,1.212275033
2018/3/19,1.456936296,1.204668328
2018/3/20,1.452820398,1.203407266
2018/3/21,1.452861246,1.202554485
2018/3/22,1.436254509,1.191983076
2018/3/23,1.419501436,1.179782626
2018/3/26,1.432925562,1.192199027
2018/3/27,1.428028407,1.187056006
2018/3/28,1.423071249,1.183633495
2018/3/29,1.431176769,1.189858867
2018/4/3,1.427804167,1.183217047
2018/4/4,1.430486915,1.188064804
2018/4/6,1.427483686,1.184170436
2018/4/9,1.429277707,1.187858565
2018/4/10,1.441778251,1.19853089
2018/4/11,1.440470522,1.197003744
2018/4/12,1.444727651,1.19830987
2018/4/13,1.443212705,1.197663279
2018/4/16,1.446439807,1.202191607
2018/4/17,1.44851584,1.208424534
