Date,Portfolio-80,202015.OF,110023.OF
2017/2/27,1.645155007,1.414885103,1.381400209
2017/2/28,1.647735739,1.417514576,1.377220481
2017/3/1,1.650308002,1.4199154,1.379310345
2017/3/2,1.643745376,1.410883732,1.368861024
2017/3/3,1.646080384,1.408139934,1.373040752
2017/3/6,1.659003116,1.415571053,1.378265413
2017/3/7,1.665478167,1.418657826,1.385579937
2017/3/8,1.662699589,1.416714302,1.381400209
2017/3/9,1.655690003,1.408254259,1.370950888
2017/3/10,1.659494638,1.408825883,1.368861024
2017/3/13,1.673320712,1.420829999,1.376175549
2017/3/14,1.670732451,1.420487024,1.378265413
2017/3/15,1.677004913,1.423345147,1.386624869
2017/3/16,1.681297941,1.430547616,1.389759666
2017/3/17,1.669035604,1.416714302,1.384535005
2017/3/20,1.674255854,1.418314851,1.396029258
2017/3/21,1.690331098,1.425060021,1.413793103
2017/3/22,1.69534618,1.418657826,1.428422153
2017/3/23,1.696611613,1.423573797,1.428422153
2017/3/24,1.703488258,1.434777638,1.430512017
2017/3/27,1.695191222,1.430318967,1.419017764
2017/3/28,1.692885984,1.427232194,1.4169279
2017/3/29,1.690975364,1.42597462,1.409613375
2017/3/30,1.67752535,1.414999428,1.400208986
2017/3/31,1.688122752,1.423116497,1.408568443
2017/4/5,1.70146962,1.441980107,1.4169279
2017/4/6,1.704542603,1.446210129,1.420062696
2017/4/7,1.704969464,1.447810678,1.4169279
2017/4/10,1.694046002,1.443009032,1.403343783
2017/4/11,1.694181229,1.447925003,1.39707419
2017/4/12,1.694179325,1.444952555,1.394984326
2017/4/13,1.700455765,1.447010404,1.406478579
2017/4/14,1.688267287,1.436149537,1.393939394
2017/4/17,1.688618145,1.433520064,1.392894462
2017/4/18,1.695370969,1.427003544,1.403343783
2017/4/19,1.695263485,1.420372699,1.406478579
2017/4/20,1.708758739,1.426660569,1.430512017
2017/4/21,1.705516236,1.428718418,1.426332288
2017/4/24,1.692504129,1.414770779,1.411703239
2017/4/25,1.705919071,1.41877215,1.415882968
2017/4/26,1.702782248,1.420487024,1.411703239
2017/4/27,1.707897444,1.421058649,1.423197492
2017/4/28,1.701138146,1.418429176,1.415882968
2017/5/2,1.701100789,1.413284555,1.414838036
2017/5/3,1.699141855,1.408139934,1.412748171
2017/5/4,1.694817992,1.404824511,1.407523511
2017/5/5,1.689960811,1.396250143,1.402298851
2017/5/8,1.674841209,1.3868755,1.394984326
2017/5/9,1.675408164,1.384931977,1.389759666
2017/5/10,1.672808495,1.379787356,1.379310345
2017/5/11,1.683674173,1.387447125,1.385579937
2017/5/12,1.690715781,1.398993941,1.392894462
2017/5/15,1.701205178,1.404595861,1.414838036
2017/5/16,1.72014249,1.416371327,1.434691745
2017/5/17,1.709590308,1.409168858,1.424242424
2017/5/18,1.704195353,1.404710186,1.425287356
2017/5/19,1.709743049,1.407111009,1.424242424
2017/5/22,1.7113622,1.410083457,1.42215256
2017/5/23,1.712600186,1.415228078,1.415882968
2017/5/24,1.71014848,1.415342403,1.420062696
2017/5/25,1.719943453,1.439922259,1.419017764
2017/5/26,1.721487187,1.437978736,1.412748171
2017/5/31,1.723608685,1.442894707,1.419017764
2017/6/1,1.722908024,1.44483823,1.421107628
2017/6/2,1.71790503,1.440493884,1.412748171
2017/6/5,1.717509704,1.433863039,1.407523511
2017/6/6,1.731932653,1.443352006,1.4169279
2017/6/7,1.753864651,1.459814794,1.438871473
2017/6/8,1.766049795,1.47067566,1.450365726
2017/6/9,1.771265685,1.477077855,1.454545455
2017/6/12,1.775306127,1.476391906,1.464994775
2017/6/13,1.780746523,1.479593003,1.470219436
2017/6/14,1.763504189,1.463816166,1.453500522
2017/6/15,1.762883443,1.461529667,1.456635319
2017/6/16,1.759869477,1.459243169,1.453500522
2017/6/19,1.774547756,1.473190808,1.466039707
2017/6/20,1.770782162,1.47044701,1.455590387
2017/6/21,1.790659828,1.486909798,1.474399164
2017/6/22,1.782177721,1.488396021,1.453500522
2017/6/23,1.794401536,1.500971762,1.464994775
2017/6/26,1.813861568,1.519035098,1.487983281
2017/6/27,1.818092462,1.521664571,1.494252874
2017/6/28,1.800265752,1.510460729,1.47753396
2017/6/29,1.806419234,1.519835372,1.490073145
2017/6/30,1.812132097,1.519492397,1.498432602
2017/7/3,1.803251038,1.513204527,1.490073145
2017/7/4,1.78704784,1.501200412,1.4723093
2017/7/5,1.80313124,1.518463473,1.481713689
2017/7/6,1.801905758,1.519263748,1.470219436
2017/7/7,1.797473822,1.519263748,1.459770115
2017/7/10,1.79146501,1.519378072,1.444096134
2017/7/11,1.798475512,1.527838116,1.443051202
2017/7/12,1.790935802,1.523493769,1.433646813
2017/7/13,1.794161845,1.53584086,1.44200627
2017/7/14,1.79867629,1.543843604,1.440961338
2017/7/17,1.772445808,1.528181091,1.407523511
2017/7/18,1.773354874,1.530010289,1.404388715
2017/7/19,1.790543234,1.55516177,1.425287356
2017/7/20,1.801035228,1.562478564,1.429467085
2017/7/21,1.797854611,1.555276095,1.431556949
2017/7/24,1.805625757,1.56144964,1.432601881
2017/7/25,1.800226557,1.551960672,1.432601881
2017/7/26,1.786893031,1.546473076,1.419017764
2017/7/27,1.791840784,1.549445524,1.421107628
2017/7/28,1.801565018,1.553332571,1.434691745
2017/7/31,1.806300942,1.559849091,1.448275862
2017/8/1,1.814085248,1.572767806,1.453500522
2017/8/2,1.805926666,1.569566709,1.440961338
