,NAME,HKSE,SEHKENG,GICS,GICSCODE,GICSENG,LOTSIZE
00282.HK,壹传媒,非必需性消费,Consumer Discretionary,通讯服务,50,Communication Services,10000
00285.HK,比亚迪电子,资讯科技业,Information Technology,信息技术,45,Information Technology,500
00286.HK,爱帝宫,医疗保健业,Healthcare,医疗保健,35,Health Care,2000
00287.HK,永发置业,地产建筑业,Properties & Construction,房地产,60,Real Estate,2000
00288.HK,万洲国际,必需性消费,Consumer Staples,日常消费品,30,Consumer Staples,500
00289.HK,WING ON CO,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,1000
00290.HK,中国富强金融,金融业,Financials,金融,40,Financials,2000
00291.HK,华润啤酒,必需性消费,Consumer Staples,日常消费品,30,Consumer Staples,2000
00292.HK,泛海酒店,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,10000
00293.HK,国泰航空,非必需性消费,Consumer Discretionary,工业,20,Industrials,1000
00294.HK,长江制衣,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,1000
00295.HK,江山控股,公用事业,Utilities,公用事业,55,Utilities,25000
00296.HK,英皇娱乐酒店,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,5000
00297.HK,中化化肥,原材料业,Materials,原材料,15,Materials,2000
00298.HK,庄士中国,地产建筑业,Properties & Construction,房地产,60,Real Estate,10000
00299.HK,宝新置地,地产建筑业,Properties & Construction,房地产,60,Real Estate,5000
00301.HK,三和精化,原材料业,Materials,原材料,15,Materials,2000
00302.HK,中手游,资讯科技业,Information Technology,信息技术,45,Information Technology,2000
00303.HK,VTECH HOLDINGS,资讯科技业,Information Technology,信息技术,45,Information Technology,100
00305.HK,五菱汽车,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,10000
00306.HK,冠忠巴士集团,非必需性消费,Consumer Discretionary,工业,20,Industrials,2000
00307.HK,优派能源发展,能源业,Energy,能源,10,Energy,2000
00308.HK,香港中旅,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,2000
00309.HK,新华通讯频媒,非必需性消费,Consumer Discretionary,工业,20,Industrials,1000
00310.HK,嘉进投资国际,金融业,Financials,金融,40,Financials,15000
00311.HK,联泰控股,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,1000
00312.HK,岁宝百货,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,2000
00313.HK,裕田中国,地产建筑业,Properties & Construction,工业,20,Industrials,50000
00315.HK,数码通电讯,电讯业,Telecommunications,通讯服务,50,Communication Services,500
00316.HK,东方海外国际,工业,Industrials,工业,20,Industrials,500
00317.HK,中船防务,工业,Industrials,工业,20,Industrials,2000
00318.HK,黄河实业,综合企业,Conglomerates,金融,40,Financials,5000
00320.HK,金宝通,工业,Industrials,工业,20,Industrials,2000
00321.HK,德永佳集团,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,2000
00322.HK,康师傅控股,必需性消费,Consumer Staples,日常消费品,30,Consumer Staples,2000
00323.HK,马鞍山钢铁股份,原材料业,Materials,原材料,15,Materials,2000
