,SmartDeposit,Benchmark
2018/2/23,1.029289086,1.012111087
2018/2/26,1.029518361,1.012148109
2018/2/27,1.029372366,1.012175876
2018/2/28,1.029410407,1.012217527
2018/3/1,1.02949163,1.012282317
2018/3/2,1.029501911,1.012393386
2018/3/5,1.029608837,1.012407269
2018/3/6,1.029709595,1.012439664
2018/3/7,1.029641737,1.012467431
2018/3/8,1.029869984,1.012518337
2018/3/9,1.029901857,1.012638661
2018/3/12,1.029680807,1.012666429
2018/3/13,1.029741467,1.012657173
2018/3/14,1.030177398,1.012671057
2018/3/15,1.029832971,1.012703452
2018/3/16,1.029935785,1.012837659
2018/3/19,1.030012896,1.01287931
2018/3/20,1.030092062,1.012925588
2018/3/21,1.029791846,1.012990378
2018/3/22,1.029914195,1.013092191
2018/3/23,1.030203101,1.013221771
2018/3/26,1.030635947,1.013254166
2018/3/27,1.030389194,1.013305072
2018/3/28,1.030512571,1.01337449
2018/3/29,1.030671932,1.013564232
2018/4/3,1.030986543,1.013647533
2018/4/4,1.031057485,1.013726206
2018/4/5,1.031117117,1.013763229
2018/4/6,1.031317603,1.013897437
2018/4/9,1.031533513,1.013952972
2018/4/10,1.03170624,1.014008505
2018/4/11,1.03176176,1.014073296
2018/4/12,1.031835785,1.014105691
2018/4/13,1.031820363,1.014244526
2018/4/16,1.032018794,1.014300061
2018/4/17,1.031881024,1.014323199
2018/4/18,1.031897474,1.014346339
2018/4/19,1.032012625,1.014392617
2018/4/20,1.031914952,1.014536081
2018/4/23,1.032232647,1.014573104
2018/4/24,1.03234677,1.014614755
2018/4/25,1.032373502,1.014679544
2018/4/26,1.032441359,1.014744334
2018/4/27,1.032634649,1.014873914
2018/4/30,1.03276111,1.014915565
2018/5/1,1.032676802,1.014966471
2018/5/2,1.032848502,1.015026633
2018/5/3,1.033129183,1.015086796
2018/5/4,1.033161056,1.015230259
2018/5/8,1.033413979,1.015308932
2018/5/9,1.033433513,1.015341327
2018/5/10,1.033672041,1.015401488
2018/5/11,1.033920851,1.015540325
2018/5/14,1.034099747,1.015581975
2018/5/15,1.034065818,1.015632881
2018/5/16,1.034275558,1.015674532
2018/5/17,1.034248827,1.015716182
2018/5/18,1.034478102,1.015868901
2018/5/21,1.034707377,1.015910552
2018/5/22,1.034684758,1.015956831
2018/5/23,1.034575774,1.016012366
2018/5/24,1.035054888,1.016077155
2018/5/25,1.03518032,1.016271525
2018/5/29,1.035558676,1.016308548
2018/5/30,1.035366414,1.016364082
2018/5/31,1.035632701,1.016405733
2018/6/1,1.03554531,1.016553824
2018/6/4,1.035517549,1.016590847
2018/6/5,1.03547848,1.01662787
2018/6/6,1.035719065,1.01666952
2018/6/7,1.035821879,1.016748194
2018/6/8,1.035794119,1.016905541
2018/6/11,1.035971988,1.016951819
2018/6/12,1.035885624,1.017007353
2018/6/13,1.035802344,1.017053632
2018/6/14,1.035754022,1.017113793
2018/6/15,1.035980212,1.017257257
2018/6/18,1.035985353,1.017298908
2018/6/19,1.036112842,1.017354442
2018/6/20,1.036213599,1.017409976
2018/6/21,1.036240331,1.017470138
2018/6/22,1.036381186,1.017632113
2018/6/25,1.036505591,1.017706159
2018/6/26,1.036461381,1.017770949
2018/6/27,1.036393524,1.017831111
2018/6/28,1.036607377,1.017882017
2018/6/29,1.036757485,1.018025481
2018/7/2,1.036708135,1.018034736
2018/7/3,1.036961056,1.018141177
2018/7/4,1.036947691,1.018141177
2018/7/5,1.03694255,1.018210594
2018/7/6,1.037228373,1.018386453
2018/7/9,1.037514195,1.01841422
2018/7/10,1.037482322,1.018469755
2018/7/11,1.037634487,1.018529916
2018/7/12,1.037677669,1.018566939
2018/7/13,1.037937788,1.018724286
2018/7/16,1.038131078,1.018765937
2018/7/17,1.038175288,1.018816843
2018/7/18,1.037821609,1.018886261
2018/7/19,1.038515601,1.018955679
2018/7/20,1.038653372,1.019113025
2018/7/23,1.038690386,1.01916856
2018/7/24,1.038679076,1.019219466
2018/7/25,1.038851804,1.019270372
2018/7/26,1.038800397,1.019330535
2018/7/27,1.038894985,1.019483254
2018/7/30,1.039247636,1.01953416
2018/7/31,1.038882648,1.019585066
2018/8/1,1.039524206,1.019640601
2018/8/2,1.039508783,1.019719275
2018/8/3,1.039778156,1.019881249
2018/8/6,1.039605429,1.019904388
2018/8/7,1.039796663,1.019969178
2018/8/8,1.039881998,1.020024713
2018/8/9,1.040052669,1.020080246
2018/8/10,1.040408405,1.020237593
2018/8/13,1.040493741,1.020274616
2018/8/14,1.040459812,1.020316267
2018/8/15,1.040657214,1.020371801
2018/8/16,1.040618145,1.020436591
2018/8/17,1.040782648,1.020603194
2018/8/20,1.04104071,1.020663355
2018/8/21,1.041213437,1.020714262
2018/8/22,1.041046879,1.020765169
2018/8/23,1.041546554,1.02082533
2018/8/24,1.041393362,1.020978049
2018/8/28,1.041953698,1.021084491
2018/8/29,1.042026695,1.021135396
2018/8/30,1.0419465,1.021186303
2018/8/31,1.042033892,1.021403812
2018/9/3,1.04205137,1.021403812
2018/9/4,1.042129509,1.021436207
2018/9/5,1.042065764,1.02147323
2018/9/6,1.04225597,1.02153802
2018/9/7,1.042259054,1.021709251
2018/9/10,1.042551046,1.021783296
2018/9/11,1.042462626,1.02183883
2018/9/12,1.042680591,1.021908247
2018/9/13,1.042741252,1.021963782
2018/9/14,1.04283584,1.022125757
2018/9/17,1.043214195,1.022181291
2018/9/18,1.043036327,1.022227569
2018/9/19,1.043246068,1.022287732
2018/9/20,1.043362248,1.022347894
2018/9/21,1.043350938,1.022509869
2018/9/24,1.043450668,1.022565403
2018/9/25,1.04348254,1.022611681
2018/9/26,1.042912951,1.022676471
2018/9/27,1.043677886,1.022736633
2018/9/28,1.043907161,1.022903236
2018/10/1,1.04407886,1.022954143
2018/10/2,1.044087085,1.023005048
2018/10/3,1.043999693,1.023055955
2018/10/4,1.044024369,1.023120745
2018/10/5,1.044202237,1.023361393
2018/10/8,1.044347204,1.023361393
2018/10/9,1.044287572,1.0234123
2018/10/10,1.044467496,1.023481717
2018/10/11,1.044540494,1.023546507
2018/10/12,1.044483947,1.023726994
2018/10/15,1.044352344,1.023768644
2018/10/16,1.044693687,1.023833434
2018/10/17,1.044606295,1.023888969
2018/10/18,1.044834542,1.02394913
2018/10/19,1.044833514,1.024134244
2018/10/22,1.044948666,1.024199035
2018/10/23,1.044946609,1.024254568
2018/10/24,1.044882864,1.024319359
2018/10/25,1.045149152,1.024384148
2018/10/26,1.044913709,1.024569262
2018/10/29,1.045440116,1.024629425
2018/10/30,1.045295148,1.024689586
2018/10/31,1.045279726,1.024735865
2018/11/1,1.045408243,1.024809911
2018/11/2,1.045604617,1.024999652
2018/11/5,1.045595365,1.025059815
2018/11/6,1.045761922,1.025110721
2018/11/7,1.045729022,1.025166255
2018/11/8,1.045975776,1.025231045
2018/11/9,1.04577426,1.025485577
2018/11/12,1.046080646,1.025485577
2018/11/13,1.045895581,1.025545739
2018/11/14,1.046171122,1.025601274
2018/11/15,1.046451804,1.025675319
2018/11/16,1.046151588,1.025869689
2018/11/19,1.046560786,1.025915968
2018/11/20,1.046535083,1.025971501
2018/11/21,1.046177291,1.026096453
2018/11/22,1.046301695,1.026096453
2018/11/23,1.046330484,1.026295451
2018/11/26,1.046795202,1.026369497
2018/11/27,1.046690332,1.026429658
2018/11/28,1.046875397,1.026503705
2018/11/29,1.046991577,1.026563866
2018/11/30,1.046745852,1.026739724
2018/12/3,1.046599855,1.026786003
2018/12/4,1.046885678,1.026813771
2018/12/5,1.045977832,1.026813771
2018/12/6,1.046557702,1.026975745
2018/12/7,1.046190657,1.02717937
2018/12/10,1.046436382,1.027248788
2018/12/11,1.046212247,1.027318206
2018/12/12,1.046457972,1.02737374
2018/12/13,1.046390115,1.027438531
2018/12/14,1.04644872,1.027609761
2018/12/17,1.046366468,1.027688434
2018/12/18,1.046971014,1.02776248
2018/12/19,1.046814737,1.027799502
2018/12/20,1.047253752,1.027859665
2018/12/21,1.047353482,1.028054035
2018/12/24,1.047332918,1.02819287
2018/12/27,1.04705018,1.028327078
2018/12/28,1.04793952,1.028535331
2018/12/31,1.04861912,1.028669539
2019/1/1,1.04861912,1.028669539
2019/1/2,1.048094811,1.028799119
2019/1/3,1.048511113,1.028850025
2019/1/4,1.048382132,1.029025883
2019/1/7,1.048440855,1.029090673
2019/1/8,1.048382132,1.02914158
2019/1/9,1.048390521,1.029215625
2019/1/10,1.048705107,1.029275787
2019/1/11,1.04956812,1.029470157
2019/1/14,1.049388806,1.029534947
2019/1/15,1.049556586,1.029613621
2019/1/16,1.0497359,1.029692294
2019/1/17,1.04981874,1.029775596
2019/1/18,1.050280132,1.030044011
2019/1/21,1.050268598,1.030044011
2019/1/22,1.050391286,1.030122684
2019/1/23,1.050657635,1.03019673
2019/1/24,1.050928179,1.030275403
2019/1/25,1.051389572,1.030455889
2019/1/28,1.051735616,1.030511424
2019/1/29,1.052107876,1.030576213
2019/1/30,1.052259925,1.030636375
2019/1/31,1.052197008,1.030701166
2019/2/1,1.053078897,1.030909418
2019/2/4,1.053054779,1.030983465
2019/2/5,1.053171176,1.031043626
2019/2/6,1.053378802,1.031113044
2019/2/7,1.053601109,1.031187089
2019/2/8,1.053689193,1.031353692
2019/2/11,1.053769938,1.031404599
2019/2/12,1.053908355,1.031487901
2019/2/13,1.053923035,1.031557318
2019/2/14,1.054331997,1.031631364
2019/2/15,1.05448929,1.031904407
2019/2/18,1.054528088,1.031904407
