,open,high,low,close
2018-06-29 08:00:00 UTC,5.62,5.79,5.6,5.76
2018-06-30 08:00:00 UTC,5.62,5.79,5.6,5.76
2018-07-01 08:00:00 UTC,5.62,5.79,5.6,5.76
2018-07-02 08:00:00 UTC,5.77,5.77,5.61,5.64
2018-07-03 08:00:00 UTC,5.68,5.78,5.6,5.78
2018-07-04 08:00:00 UTC,5.76,5.76,5.62,5.65
2018-07-05 08:00:00 UTC,5.69,5.72,5.38,5.4
2018-07-06 08:00:00 UTC,5.44,5.52,5.27,5.45
2018-07-07 08:00:00 UTC,5.44,5.52,5.27,5.45
2018-07-08 08:00:00 UTC,5.44,5.52,5.27,5.45
2018-07-09 08:00:00 UTC,5.47,5.58,5.42,5.55
2018-07-10 08:00:00 UTC,5.57,5.6,5.52,5.58
2018-07-11 08:00:00 UTC,5.55,5.55,5.28,5.32
2018-07-12 08:00:00 UTC,5.34,5.56,5.33,5.53
2018-07-13 08:00:00 UTC,5.57,5.61,5.52,5.55
2018-07-14 08:00:00 UTC,5.57,5.61,5.52,5.55
2018-07-15 08:00:00 UTC,5.57,5.61,5.52,5.55
2018-07-16 08:00:00 UTC,5.59,5.59,5.45,5.52
2018-07-17 08:00:00 UTC,5.52,5.64,5.48,5.63
2018-07-18 08:00:00 UTC,5.61,5.68,5.54,5.55
2018-07-19 08:00:00 UTC,5.56,5.61,5.44,5.47
2018-07-20 08:00:00 UTC,5.47,5.58,5.39,5.56
2018-07-21 08:00:00 UTC,5.47,5.58,5.39,5.56
2018-07-22 08:00:00 UTC,5.47,5.58,5.39,5.56
2018-07-23 08:00:00 UTC,5.57,5.6,5.5,5.59
2018-07-24 08:00:00 UTC,5.6,5.76,5.59,5.76
2018-07-25 08:00:00 UTC,5.73,5.75,5.69,5.71
2018-07-26 08:00:00 UTC,5.71,5.89,5.69,5.8
2018-07-27 08:00:00 UTC,5.79,5.88,5.74,5.76
2018-07-28 08:00:00 UTC,5.79,5.88,5.74,5.76
2018-07-29 08:00:00 UTC,5.79,5.88,5.74,5.76
2018-07-30 08:00:00 UTC,5.81,5.83,5.62,5.66
2018-07-31 08:00:00 UTC,5.67,5.77,5.64,5.77
2018-08-01 08:00:00 UTC,5.76,5.82,5.58,5.6
2018-08-02 08:00:00 UTC,5.58,5.58,5.33,5.36
2018-08-03 08:00:00 UTC,5.36,5.42,5.29,5.29
2018-08-04 08:00:00 UTC,5.36,5.42,5.29,5.29
2018-08-05 08:00:00 UTC,5.36,5.42,5.29,5.29
2018-08-06 08:00:00 UTC,5.31,5.32,5.1,5.14
2018-08-07 08:00:00 UTC,5.18,5.29,5.13,5.28
2018-08-08 08:00:00 UTC,5.27,5.33,5.2,5.2
2018-08-09 08:00:00 UTC,5.21,5.37,5.21,5.32
2018-08-10 08:00:00 UTC,5.33,5.38,5.3,5.35
2018-08-11 08:00:00 UTC,5.33,5.38,5.3,5.35
2018-08-12 08:00:00 UTC,5.33,5.38,5.3,5.35
2018-08-13 08:00:00 UTC,5.3,5.36,5.25,5.35
2018-08-14 08:00:00 UTC,5.35,5.45,5.33,5.37
2018-08-15 08:00:00 UTC,5.38,5.4,5.26,5.29
2018-08-16 08:00:00 UTC,5.2,5.32,5.18,5.23
2018-08-17 08:00:00 UTC,5.29,5.29,5.12,5.14
2018-08-18 08:00:00 UTC,5.29,5.29,5.12,5.14
2018-08-19 08:00:00 UTC,5.29,5.29,5.12,5.14
2018-08-20 08:00:00 UTC,5.15,5.18,5.03,5.13
2018-08-21 08:00:00 UTC,5.12,5.22,5.09,5.2
2018-08-22 08:00:00 UTC,5.18,5.2,5.13,5.15
2018-08-23 08:00:00 UTC,5.15,5.19,5.11,5.16
2018-08-24 08:00:00 UTC,5.16,5.22,5.12,5.15
2018-08-25 08:00:00 UTC,5.16,5.22,5.12,5.15
2018-08-26 08:00:00 UTC,5.16,5.22,5.12,5.15
2018-08-27 08:00:00 UTC,5.16,5.25,5.15,5.24
2018-08-28 08:00:00 UTC,5.23,5.3,5.22,5.28
2018-08-29 08:00:00 UTC,5.29,5.29,5.2,5.21
2018-08-30 08:00:00 UTC,5.21,5.24,5.1,5.11
2018-08-31 08:00:00 UTC,5.09,5.12,5.05,5.05
2018-09-01 08:00:00 UTC,5.09,5.12,5.05,5.05
2018-09-02 08:00:00 UTC,5.09,5.12,5.05,5.05
2018-09-03 08:00:00 UTC,5.05,5.06,4.97,5.05
2018-09-04 08:00:00 UTC,5.04,5.18,5.03,5.14
2018-09-05 08:00:00 UTC,5.13,5.25,5.12,5.13
2018-09-06 08:00:00 UTC,5.11,5.19,5.1,5.13
2018-09-07 08:00:00 UTC,5.15,5.2,5.11,5.14
2018-09-08 08:00:00 UTC,5.15,5.2,5.11,5.14
2018-09-09 08:00:00 UTC,5.15,5.2,5.11,5.14
2018-09-10 08:00:00 UTC,5.15,5.17,5.01,5.04
2018-09-11 08:00:00 UTC,5.05,5.07,4.98,5.04
2018-09-12 08:00:00 UTC,5.04,5.13,5.0,5.08
2018-09-13 08:00:00 UTC,5.09,5.17,5.08,5.17
2018-09-14 08:00:00 UTC,5.18,5.2,5.14,5.16
2018-09-15 08:00:00 UTC,5.18,5.2,5.14,5.16
2018-09-16 08:00:00 UTC,5.18,5.2,5.14,5.16
2018-09-17 08:00:00 UTC,5.17,5.17,5.03,5.04
2018-09-18 08:00:00 UTC,5.0,5.17,5.0,5.16
2018-09-19 08:00:00 UTC,5.16,5.25,5.13,5.2
2018-09-20 08:00:00 UTC,5.18,5.31,5.18,5.28
2018-09-21 08:00:00 UTC,5.26,5.31,5.23,5.3
2018-09-22 08:00:00 UTC,5.26,5.31,5.23,5.3
2018-09-23 08:00:00 UTC,5.26,5.31,5.23,5.3
2018-09-24 08:00:00 UTC,5.26,5.31,5.23,5.3
2018-09-25 08:00:00 UTC,5.26,5.32,5.26,5.27
2018-09-26 08:00:00 UTC,5.29,5.34,5.25,5.27
2018-09-27 08:00:00 UTC,5.26,5.31,5.21,5.21
2018-09-28 08:00:00 UTC,5.22,5.37,5.21,5.29
2018-09-29 08:00:00 UTC,5.22,5.37,5.21,5.29
2018-09-30 08:00:00 UTC,5.22,5.37,5.21,5.29
2018-10-01 08:00:00 UTC,5.22,5.37,5.21,5.29
2018-10-02 08:00:00 UTC,5.22,5.37,5.21,5.29
2018-10-03 08:00:00 UTC,5.22,5.37,5.21,5.29
2018-10-04 08:00:00 UTC,5.22,5.37,5.21,5.29
2018-10-05 08:00:00 UTC,5.22,5.37,5.21,5.29
2018-10-06 08:00:00 UTC,5.22,5.37,5.21,5.29
2018-10-07 08:00:00 UTC,5.22,5.37,5.21,5.29
2018-10-08 08:00:00 UTC,5.19,5.23,5.05,5.05
2018-10-09 08:00:00 UTC,5.06,5.11,5.0,5.04
2018-10-10 08:00:00 UTC,5.04,5.09,5.01,5.04
2018-10-11 08:00:00 UTC,4.84,4.91,4.54,4.54
2018-10-12 08:00:00 UTC,4.51,4.55,4.23,4.29
2018-10-13 08:00:00 UTC,4.51,4.55,4.23,4.29
2018-10-14 08:00:00 UTC,4.51,4.55,4.23,4.29
2018-10-15 08:00:00 UTC,4.19,4.24,3.97,4.02
2018-10-16 08:00:00 UTC,4.02,4.07,3.89,3.93
2018-10-17 08:00:00 UTC,4.0,4.02,3.88,4.0
2018-10-18 08:00:00 UTC,3.97,3.97,3.79,3.79
2018-10-19 08:00:00 UTC,3.76,3.91,3.7,3.9
2018-10-20 08:00:00 UTC,3.76,3.91,3.7,3.9
2018-10-21 08:00:00 UTC,3.76,3.91,3.7,3.9
2018-10-22 08:00:00 UTC,3.92,4.15,3.92,4.08
2018-10-23 08:00:00 UTC,4.06,4.13,4.0,4.02
2018-10-24 08:00:00 UTC,4.03,4.19,4.01,4.07
