,AQUMON_CCBI,Benchmark
2018/9/20,1.277246255,1.231702738
2018/9/21,1.277218588,1.226468047
2018/9/24,1.272680915,1.223141138
2018/9/26,1.275856703,1.222190071
2018/9/27,1.274557539,1.224119593
2018/9/28,1.275200674,1.225839778
2018/10/2,1.274948881,1.22624687
2018/10/3,1.276655752,1.22484573
2018/10/4,1.266708513,1.215464052
2018/10/5,1.262666496,1.209364506
2018/10/8,1.253669296,1.205191963
2018/10/9,1.256336998,1.204720551
2018/10/10,1.248365145,1.188367475
2018/10/11,1.224919463,1.172765225
2018/10/12,1.228078746,1.180514183
2018/10/15,1.228584688,1.176805562
2018/10/16,1.232291436,1.190191931
2018/10/18,1.226317406,1.179972701
2018/10/19,1.229377568,1.179406956
2018/10/22,1.23145063,1.177173135
2018/10/23,1.21876705,1.169137736
2018/10/24,1.218087726,1.155061248
2018/10/25,1.217562438,1.160247333
2018/10/26,1.211030215,1.152268122
2018/10/29,1.212172654,1.150262407
2018/10/30,1.210213404,1.157159805
2018/10/31,1.220718021,1.165271157
2018/11/1,1.226030327,1.171932797
2018/11/2,1.227441293,1.166978015
2018/11/5,1.228891183,1.171001226
2018/11/6,1.232004053,1.174762983
2018/11/7,1.239415091,1.185647279
2018/11/8,1.241791643,1.183929814
2018/11/9,1.233713555,1.177982296
2018/11/12,1.22643482,1.166503557
2018/11/13,1.230528093,1.165115185
2018/11/14,1.224326175,1.162788865
2018/11/15,1.225271026,1.166730183
2018/11/16,1.231735256,1.169980509
2018/11/19,1.229780007,1.163748981
2018/11/20,1.214517431,1.151014546
2018/11/21,1.220554168,1.15431062
2018/11/22,1.213904157,1.153559994
2018/11/23,1.21024273,1.148952145
2018/11/26,1.216012305,1.157113842
2018/11/27,1.216703777,1.159027799
2018/11/28,1.222421789,1.168941283
2018/11/29,1.228666944,1.170714567
2018/11/30,1.228956394,1.173145569
2018/12/3,1.243207499,1.181809752
2018/12/4,1.237197028,1.164142591
2018/12/5,1.22736446,1.162331515
2018/12/6,1.209045157,1.155130821
2018/12/7,1.213852632,1.148600052
2018/12/10,1.200921604,1.142923431
2018/12/11,1.211642459,1.143948465
