Currency,Country,Event Short Name,Bloomber Ticker,BBG FREQ,BBG TRANSFORM,BBG INDX UNITS,BBG QUOTE UNITS,BBG UPDATE TIME
NZD,New Zealand,ANZ Consumer Confidence MoM,NZANCCTM Index,Monthly,MoM% NSA,Value,#N/A Field Not Applicable,5:00:00 AM
NZD,New Zealand,Trade Balance,NZMTBAL Index,Monthly,Value NSA,Value,MILLIONS,5:45:00 AM
NZD,New Zealand,ANZ Business Confidence,NZBCI Index,Monthly,% Balance/Diffusion Index NSA,Rate,%,8:00:00 AM
NZD,New Zealand,Terms of Trade Index QoQ,NZPCTOT% Index,Quarterly,QoQ% NSA,Percent,% CHANGE,5:45:00 AM
NZD,New Zealand,Mfg Activity SA QoQ,NZMACHGE Index,Quarterly,QoQ% SA,Percent,% CHANGE,5:45:00 AM
NZD,New Zealand,BoP Current Account Balance,NZBPCA Index,Quarterly,Value NSA,Value,BILLIONS,5:45:00 AM
NZD,New Zealand,GDP SA QoQ,NZNTGDPC Index,Quarterly,QoQ% SA,Rate,% CHANGE,5:45:00 AM
NZD,New Zealand,CPI QoQ,NZCPICHG Index,Quarterly,QoQ% NSA,Rate,% CHANGE,5:45:00 AM
NZD,New Zealand,Current Account GDP Ratio,NZGRP Index,Quarterly,Percent NSA,Rate,% RATIO,5:45:00 AM
NZD,New Zealand,2Yr Inflation Expectations,NZIFRBY2 Index,Quarterly,Percent NSA,Percent,%,10:00:00 AM
NZD,New Zealand,Retail Sales Ex Inflation QoQ,NZRREXIN Index,Quarterly,QoQ% SA,Rate,%,5:45:00 AM
NZD,New Zealand,Non Resident Bond Holdings,NZSHGB Index,Monthly,Percent NSA,Rate,% RATIO,10:00:00 AM
PHP,Philippines,PH CPI YoY,PHC2II Index,Monthly,YoY% NSA,Rate,% CHANGE,9:00:00 AM
PHP,Philippines,PH Exports YoY,PHEXYOY Index,Monthly,YoY% NSA,Rate,% CHANGE,9:00:00 AM
PHP,Philippines,PH Imports YoY,PHIMYOY Index,Monthly,YoY% NSA,Rate,% CHANGE,9:00:00 AM
PHP,Philippines,PH Trade Balance,PHETBOT Index,Monthly,Value NSA,Value,MILLIONS,9:00:00 AM
PHP,Philippines,PH GDP SA QoQ,PHNAGDP Index,Quarterly,QoQ% SA,Percent,% CHANGE,10:00:00 AM
PHP,Philippines,PH GDP YoY,PHGDPYOY Index,Quarterly,YoY% NSA,Rate,% CHANGE,10:00:00 AM
SGD,Singapore,SG NODX,SIEXNON% Index,Monthly,YoY% NSA,Rate,% CHANGE,8:30:00 AM
SGD,Singapore,SG Retail Sales YoY,SIRSYOY% Index,Monthly,YoY% NSA,Rate,% CHANGE,1:00:00 PM
SGD,Singapore,SG Retail Sales SA MoM,SRSATM Index,Monthly,MoM% SA,Rate,% CHANGE,1:00:00 PM
SGD,Singapore,SG Industrial Production SA MoM,SIIPMOM Index,Monthly,MoM% SA,Rate,% CHANGE,1:00:00 PM
SGD,Singapore,SG Industrial Production YoY,SIIPYOY% Index,Monthly,YoY% NSA,Rate,% CHANGE,1:00:00 PM
SGD,Singapore,SG Unemployment rate SA,SIQUTOTA Index,Quarterly,Percent SA,Rate,% CHANGE,10:30:00 AM
SGD,Singapore,SG Foreign Reserves,SIOFRUS Index,Monthly,Value NSA,Value,MILLIONS,5:00:00 PM
KRW,South Korea,Industrial Production YoY,KOIPIY Index,Monthly,YoY% NSA,Rate,% CHANGE,7:00:00 AM
KRW,South Korea,CPI MoM,KOCPIMOM Index,Monthly,MoM% NSA,Rate,% CHANGE,7:00:00 AM
KRW,South Korea,CPI YoY,KOCPIYOY Index,Monthly,YoY% NSA,Rate,% CHANGE,7:00:00 AM
KRW,South Korea,CPI Core YoY,SKCIYOY Index,Monthly,YoY% NSA,Rate,% CHANGE,7:00:00 AM
KRW,South Korea,Trade Balance,KOTRBAL Index,Monthly,Value NSA,Value,MILLIONS,8:00:00 AM
KRW,South Korea,Nikkei PMI,MPMIKRMA Index,Monthly,% Balance/Diffusion Index SA,Value,%,8:30:00 AM
KRW,South Korea,Consumer Confidence,KOCCCSI Index,Monthly,Index NSA,Value,#N/A Field Not Applicable,5:00:00 AM
KRW,South Korea,Business Survey Mfc,KOBSMC Index,Monthly,% Balance/Diffusion Index NSA,Value,INDEX,5:00:00 AM
KRW,South Korea,GDP QoQ,KOGDPQOQ Index,Quarterly,QoQ% SA,Rate,% CHANGE,7:00:00 AM
KRW,South Korea,GDP YoY,KOGDPYOY Index,Quarterly,YoY% NSA,Rate,% CHANGE,7:00:00 AM
KRW,South Korea,Exports 20 Days YoY,KOTBEXPY Index,Monthly,YoY% NSA,Percent,%,8:00:00 AM
KRW,South Korea,Unemployment Rate,KOEAUERS Index,Monthly,Percent SA,Rate,% RATIO,7:00:00 AM
TWD,Taiwan,TW Trade Balance,TWTRBAL Index,Monthly,Value NSA,Value,BILLIONS,4:00:00 PM
TWD,Taiwan,TW Exports YoY,TWTREXPY Index,Monthly,YoY% NSA,Rate,% CHANGE,4:00:00 PM
TWD,Taiwan,TW GDP YoY,TWGDCONY Index,Quarterly,YoY% NSA,Rate,%,4:00:00 PM
TWD,Taiwan,TW Industrial Production YoY,TWINDPIY Index,Monthly,YoY% NSA,Rate,% CHANGE,4:00:00 PM
TWD,Taiwan,TW CPI YoY,TWCPIYOY Index,Monthly,YoY% NSA,Rate,% CHANGE,4:00:00 PM
THB,Thailand,TH GDP YoY,THG PQY Index,Quarterly,YoY% NSA,Rate,% CHANGE,10:30:00 AM
THB,Thailand,TH GDP QoQ,THG PQQ Index,Quarterly,QoQ% SA,Rate,% CHANGE,10:30:00 AM
THB,Thailand,TH CPI YoY,THCPIYOY Index,Monthly,YoY% NSA,Rate,% CHANGE,12:00:00 PM
THB,Thailand,TH CPI Core YoY,THCOPIY Index,Monthly,YoY% NSA,Rate,% CHANGE,12:00:00 PM
THB,Thailand,TH Exports YoY,THNFEXPY Index,Monthly,YoY% NSA,Rate,% CHANGE,3:30:00 PM
GBP,United Kingdom,UK BOE Asset Purchase Target,UKAPTARG Index,Monthly,Value NSA,Value,BILLIONS,8:00:00 PM
GBP,United Kingdom,UK Mortgage Approvals,UKMSVTVX Index,Monthly,Units/Persons SA,Volume,THOUSANDS,5:30:00 PM
GBP,United Kingdom,UK Markit UK Mfc PMI,MPMIGBMA Index,Monthly,% Balance/Diffusion Index SA,Value,%,5:30:00 PM
GBP,United Kingdom,UK Markit/CIPS UK Construction PMI,MPMIGBXA Index,Monthly,% Balance/Diffusion Index SA,Value,#N/A Field Not Applicable,5:30:00 PM
GBP,United Kingdom,UK Markit/CIPS UK Services PMI,MPMIGBSA Index,Monthly,% Balance/Diffusion Index SA,Value,#N/A Field Not Applicable,5:30:00 PM
GBP,United Kingdom,UK Trade Balance Value,UKTBTTBA Index,Monthly,Value SA,Value,MILLIONS,5:30:00 PM
GBP,United Kingdom,UK Industrial Production MoM,UKIPIMOM Index,Monthly,MoM% SA,Rate,% CHANGE,5:30:00 PM
GBP,United Kingdom,UK Mfc Production MoM,UKMPIMOM Index,Monthly,MoM% SA,Rate,% CHANGE,5:30:00 PM
GBP,United Kingdom,UK Avg Weekly Earnings 3M/YoY,UKAWMWHO Index,Monthly,Moving Average SA,Rate,% CHANGE,5:30:00 PM
GBP,United Kingdom,UK ILO Unemployment Rate,UKUEILOR Index,Monthly,Percent SA,Rate,% RATIO,5:30:00 PM
