,25%,50%,75%,count,diff_stat_p,end,freq_day,max,mean,min,missing_pct,raw_stat_p,start,std
CSIIGBP Index,-10.72,4.65,13.29,261.0,6.575994067936403e-16,2019-09-30,30.43076923076923,66.68,1.6177011494252862,-56.99,0.0,0.1964411728418456,1998-01-31,21.348828415043297
CSIIJPY Index,-7.97,1.55,10.95,261.0,,2019-09-30,30.43076923076923,36.75,1.5096551724137943,-40.8,0.0,0.00014581286453464374,1998-01-31,14.094201217435478
CSIINOK Index,-17.56,2.01,18.73,261.0,,2019-09-30,30.43076923076923,103.41,1.950383141762453,-60.94,0.0,6.58872676364889e-05,1998-01-31,27.444713247495464
CSIINZD Index,-23.19,-9.73,3.31,261.0,,2019-09-30,30.43076923076923,50.43,-7.711417624521071,-58.13,0.0,0.04214738851927359,1998-01-31,19.846531955858655
CSIISEK Index,-21.72,-10.12,4.43,261.0,,2019-09-30,30.43076923076923,51.19,-8.612988505747127,-68.64,0.0,0.035695460043096386,1998-01-31,22.02575948825563
CSIIUSD Index,-20.05,-9.86,2.75,261.0,,2019-09-30,30.43076923076923,42.89,-7.768965517241378,-49.11,0.0,4.877890856645314e-06,1998-01-31,16.82569758762902
CTOTAUD Index,-4.34,13.32,25.375,6063.0,1.0012008832281832e-17,2019-10-23,1.4343451006268557,57.33,11.702220023090891,-15.55,0.0,0.5032015779524277,1996-01-02,17.277761470312694
CTOTCAD Index,0.14,4.79,9.61,6063.0,1.108534840288061e-29,2019-10-23,1.4343451006268557,18.43,4.938109846610598,-4.52,0.0,0.21168752328665108,1996-01-02,5.117163099660355
CTOTCHF Index,-9.024999999999999,-6.69,-1.6,6063.0,4.672451324964363e-22,2019-10-23,1.4343451006268557,1.93,-5.777059211611413,-16.78,0.0,0.3859286497587746,1996-01-02,4.075731076944472
CTOTCNY Index,-20.814999999999998,-13.51,-1.36,6063.0,9.546740827479376e-23,2019-10-23,1.4343451006268557,3.59,-12.005921161141343,-32.52,0.0,0.5211177321460657,1996-01-02,9.676687769127438
CTOTEUR Index,-10.43,-5.76,-1.76,6063.0,3.5422160165920376e-27,2019-10-23,1.4343451006268557,2.68,-6.065098136236172,-19.14,0.0,0.44038049264161194,1996-01-02,4.742726082706073
CTOTGBP Index,1.6,6.05,7.6,6063.0,6.892738164320088e-27,2019-10-23,1.4343451006268557,9.15,4.807821210621811,-0.95,0.0,0.6954694049974424,1996-01-02,3.1749112249645357
CTOTIDR Index,-8.04,-1.6,2.82,6063.0,6.00029723261246e-26,2019-10-23,1.4343451006268557,18.85,-2.6580455220188015,-18.05,0.0,0.32958745452471633,1996-01-02,6.859830942339524
CTOTINR Index,-37.025000000000006,-28.55,-5.4350000000000005,6063.0,2.174756641297587e-28,2019-10-23,1.4343451006268557,13.56,-22.32210786739232,-47.72,0.0,0.5507538458852019,1996-01-02,16.85837193011794
CTOTJPY Index,-28.09,-19.15,-6.465,6063.0,1.0260561388808992e-27,2019-10-23,1.4343451006268557,8.72,-17.614306448952664,-51.6,0.0,0.3826985816675872,1996-01-02,12.977730245529727
CTOTKRW Index,-30.97,-20.96,-6.585,6063.0,1.0462520058866627e-26,2019-10-23,1.4343451006268557,7.87,-19.125545109681656,-53.71,0.0,0.4538540213224453,1996-01-02,13.720422642476798
CTOTNOK Index,21.265,43.12,66.64500000000001,6063.0,1.9061138044029556e-27,2019-10-23,1.4343451006268557,112.97,41.505708395183774,-24.55,0.0,0.2894613869940995,1996-01-02,28.678741693039516
CTOTNZD Index,-5.415,-1.91,2.08,6063.0,0.0,2019-10-23,1.4343451006268557,7.85,-1.881528946066307,-13.1,0.0,0.1702701248664184,1996-01-02,4.430339639887208
CTOTPHP Index,-19.064999999999998,-12.67,-2.675,6063.0,1.8982557782664942e-23,2019-10-23,1.4343451006268557,3.93,-11.811345868381983,-33.55,0.0,0.43664999156048356,1996-01-02,8.876166195541103
CTOTSEK Index,-7.92,-6.23,-1.9,6063.0,7.569585012081771e-29,2019-10-23,1.4343451006268557,2.2,-5.080191324426833,-12.28,0.0,0.39604452159546116,1996-01-02,3.4933614276718705
CTOTSGD Index,-9.98,-4.8100000000000005,-0.78,6063.0,0.0,2019-10-23,1.4343451006268557,1.4,-5.523613722579575,-16.89,0.0,0.5680722931089388,1996-01-02,4.802987143818424
