symbol,gicsector,gicgroup,gicind,gicsubind,standard_ind,LOTSIZE
EURO.,25,2540,254010,25401020,4841,1
EURX,35,3520,352020,35202010,2834,1
EV,40,4020,402030,40203010,6282,1
EVA,10,1010,101020,10102050,2400,1
EVAC,20,2010,201060,20106020,3560,1
EVAL,15,1510,151040,15104025,1000,1
EVBG,45,4510,451030,45103010,7370,1
EVBN,40,4010,401010,40101015,6020,1
EVBS,40,4010,401010,40101015,6020,1
EVC,50,5020,502010,50201020,4833,1
EVD.1,10,1010,101020,10102020,4923,1
EVDY,45,4510,451010,45101010,7370,1
EVER.3,40,4010,401020,40102010,6035,1
EVER,50,5020,502030,50203010,7370,1
EVFM,35,3520,352020,35202010,2834,1
EVG.1,10,1010,101020,10102020,1311,1
EVGN,35,3520,352010,35201010,2836,1
EVH,35,3510,351030,35103010,7372,1
EVHC.1,35,3510,351020,35102015,8090,1
EVHC,35,3510,351020,35102015,8011,1
EVI,20,2010,201070,20107010,5080,1
EVK,25,2520,252030,25203010,2300,1
EVLO,35,3520,352010,35201010,2836,1
EVOK,35,3520,352020,35202010,2834,1
EVOL,45,4510,451030,45103010,7371,1
EVOP,45,4510,451020,45102020,7374,1
EVR,40,4020,402030,40203020,6200,1
EVRG,55,5510,551010,55101010,4931,1
EVRI,25,2530,253010,25301010,3578,1
EVRT.1,40,4010,401020,40102010,6036,1
EVST,25,2520,252030,25203010,2330,1
EVTC,45,4510,451020,45102020,7374,1
