name,CSDCCCode,SecId,PerformanceId,MasterPortfolioId,ISIN,obsoletedate,obsoletetype
CCB-Principal Advantage Dynamic Fd(LOF),165313,F00000PPKF,0P0000YBN0,,,,
CCB-Principal Aggressive-growth,150037,F00000MA3U,0P0000SR5K,,,,
CCB-Principal Biomonthly Bond Fund A,530029,F00000PCP3,0P0000XUWB,,,,
CCB-Principal Biomonthly Bond Fund B,531029,F00000PCP4,0P0000XUWC,,,,
CCB-Principal CCTV 50 Idx Struct Fd,165312,F00000PJMM,0P0000Y35C,,,,
CCB-Principal CCTV 50 Idx Struct Fd A,150123,F00000PJMN,0P0000Y35D,,,,
CCB-Principal CCTV 50 Idx Struct Fd B,150124,F00000PJMO,0P0000Y35E,,,,
CCB-Principal Consumption Upgrade Bal Fd,56,F00000PX2R,0P0000YS2C,,,,
CCB-Principal Dual-bond Enha Bd Fd A,207,F00000Q2LM,0P0000Z10C,,,,
CCB-Principal Dual-bond Enha Bd Fd C,208,F00000Q2LN,0P0000Z10D,,,,
CCB-Principal Enhanced Convert Bd Fd A,530020,F00000O5VR,0P0000VXPU,,,,
CCB-Principal Enhanced Convert Bd Fd C,531020,F00000O5VS,0P0000VXPV,,,,
CCB-Principal Glbl Resrcs Equity Fd QDII,539003,F00000OARU,0P0000W8O5,,,,
CCB-Principal Income Enhanced Fund A,530009,F000002Y0F,0P0000K8OT,,,,
CCB-Principal Income Enhanced Fund C,531009,F000002Y0G,0P0000K8OU,,,,
CCB-Principal Monthly Bond Fund A,530028,F00000P8GP,0P0000XOVU,,,,
CCB-Principal Monthly Bond Fund B,531028,F00000P8GQ,0P0000XOVV,,,,
CCB-Principal Pure Bond Fund A,530021,F00000OWSL,0P0000X6LE,,,,
