,USDSEK,USDNOK,USDJPY,USDCHF,USDCAD,NZDUSD,GBPUSD,EURUSD,AUDUSD,USDSGD,USDTHB,USDKRW,USDTWD,USDINR,USDIDR
2012-02-06,0.029312116000000006,0.042605437999999995,-0.01766287,0.048686155999999994,-0.006487673,0.031145303,-0.016520167,-0.052700159,0.02661051,-0.013706227,0.002595717,0.006108265,-0.020427758,-0.008103728000000001,0.009421076
2012-02-07,0.018875344,0.031336813,-0.017921147,0.039164786,-0.021211824,0.050894432,-0.011386386,-0.045037167,0.041389291,-0.020581303999999998,0.003894839,-0.002934559,-0.018470007,-0.006329957,-0.001190402
2012-02-08,0.003629245,0.016064823,-0.012173244,0.029936737,-0.022696011000000002,0.06573248400000001,0.00018864400000000002,-0.032168648,0.055116574,-0.03,-0.00226978,-0.01260122,-0.022430899,-0.005263645,-0.005147934
2012-02-09,0.009922806,0.026837722999999997,-0.011528116000000001,0.037192903,-0.015427215,0.051427134000000006,-0.011861656000000002,-0.039085119,0.039438245,-0.016912985,0.00359125,0.004347514,-0.021121848999999998,0.004607064,0.000390211
2012-02-10,0.006585122,0.024721219,-0.00639959,0.021252796,-0.019659884,0.042043172999999996,-0.014297309,-0.036684585,0.03407007,-0.010246709,0.0048891790000000004,0.005966683,-0.020055027,0.012703836000000001,0.010535704
2012-02-13,0.011478873999999998,0.018939461,-0.005253715999999999,0.01039938,-0.015952733,0.051948052,-0.015895773999999998,-0.036368926,0.041307088,-0.015161036999999999,0.003256268,0.000489376,-0.019328011000000003,-0.0005803080000000001,0.006884441999999999
2012-02-14,0.023064552999999998,0.023619374,0.004511472,0.024896729,-0.009103503,0.042849962000000005,-0.023858341,-0.048923255,0.031361575,-0.0046471329999999995,0.006853786,0.005804919,-0.019978133000000002,-0.009725165,0.005077986
2012-02-15,-0.007193600000000001,-0.003263468,0.009654995,0.004714912,-0.028230927000000006,0.079593674,-0.012306147,-0.026947212999999998,0.060250468,-0.026234329,0.00032435900000000003,-0.011488894,-0.022726521,-0.011121886000000001,0.005631626
2012-02-16,0.009861224,0.020615655,0.01108819,0.022845161,-0.016387008,0.06286155,-0.016446955,-0.044253633,0.050625431,-0.01557898,0.0019467879999999999,0.004481128,-0.01626476,-0.02044495,0.00870433
2012-02-17,0.017417381000000003,0.016010792,0.025158864,0.022813265,-0.019686976999999998,0.06446281,-0.015878946,-0.044942185999999995,0.047845959,-0.017759776,0.001624959,0.001723173,-0.020167566,-0.01783591,0.009369629
2012-02-20,-0.002640884,-0.01099112,0.031120332,0.0051614320000000005,-0.025527737,0.086585681,-0.001446996,-0.029318833,0.058355437999999996,-0.028518289,-0.00194742,-0.002419226,-0.025560582999999998,-0.028762809,0.009369629
2012-02-21,-0.021948379,-0.023229305,0.035853468,-0.011408083000000001,-0.033083585,0.098691099,0.005772647,-0.012572534,0.065515188,-0.034535923999999996,-0.0045336790000000005,-0.012352833,-0.020396,-0.03486499,-0.0047264229999999996
2012-02-22,-0.021408351000000003,-0.017436626,0.039210595,-0.006857516,-0.025056279,0.086775244,0.002221517,-0.019843033,0.056413302,-0.026861742999999997,-0.009397278,-0.0039986940000000006,-0.019649425,-0.027950822,-0.004061471
2012-02-23,-0.020058276,-0.027442069,0.04358574,-0.011525496999999999,-0.029905816,0.095615425,-0.0055834019999999995,-0.016176907,0.066726781,-0.029978422,-0.019007732,-0.008805748,-0.020605259,-0.038353500000000006,0.000548847
2012-02-24,-0.020070995,-0.028793773999999998,0.046726539000000004,-0.015710233,-0.030314808,0.108100965,-0.0008888889999999998,-0.011682933999999999,0.07583508900000001,-0.034270312000000004,-0.022558814,-0.013334033,-0.025536127000000002,-0.050044559,0.000548847
2012-02-27,-0.038884899,-0.040502144,0.053205295,-0.023225383999999998,-0.03545621,0.114655633,0.013547192,-0.003261434,0.083764324,-0.034035034,-0.023091725,-0.013862266000000002,-0.025180449,-0.067831234,-7.69e-05
2012-02-28,-0.041740119,-0.039588105,0.045301142,-0.019569258,-0.043607723,0.129599785,0.014664446999999999,-0.001559831,0.104136801,-0.039702614,-0.027502397999999997,-0.023513918999999998,-0.030817651,-0.05599844599999999,-0.011568469
2012-02-29,-0.05311795,-0.05128818,0.040699935,-0.02675658,-0.051727429000000005,0.13404284,0.024509489,0.008234149,0.112220735,-0.0472044,-0.034449761,-0.034307902,-0.033717456,-0.062012751,-0.013613129
2012-03-01,-0.051291252999999995,-0.054441261,0.04610616,-0.021138211,-0.05685395400000001,0.12724328699999998,0.030279503,0.0029307879999999997,0.108910891,-0.04728493,-0.023992322000000003,-0.040412269,-0.038063417,-0.057321835,-0.013613129
2012-03-02,-0.04982084,-0.052744978,0.049465413,-0.022200668,-0.050909441,0.110978362,0.027919272999999998,-0.0006013230000000001,0.094783844,-0.042548298,-0.025542784,-0.033288384,-0.02907916,-0.04955029,-0.016949153
2012-03-05,-0.038922328,-0.04653339,0.04125032,-0.00673913,-0.040120167000000005,0.09204800199999999,0.018996716,-0.012718839,0.07423756,-0.031368015,-0.021385254,-0.022908879,-0.026515652,-0.039250841,-0.013505515
2012-03-06,-0.026579375,-0.037330414,0.046096559,-0.007499185,-0.036875726,0.07092198599999999,0.017190507,-0.009527382,0.06313788299999999,-0.026177606000000003,-0.015389548000000001,-0.017327208,-0.018471845,-0.040427695,-0.008770514
2012-03-07,0.0030335320000000002,-0.014061552,0.038996139,0.003171479,-0.01844584,0.047454149,0.002548907,-0.023255814,0.031482206,-0.018071351,-0.004851229,-0.001125168,-0.019165615,-0.020067571,-0.008770514
2012-03-08,0.002156796,-0.029320616,0.045635685999999995,-0.002507632,-0.018430909,0.051012561,0.005613319,-0.020952522,0.038649706,-0.022805106000000002,-0.007779579,-0.011509153999999999,-0.023357664,-0.015296792,-0.014151196999999999
2012-03-09,-0.005944968,-0.031936782999999996,0.048999487,-0.013986772,-0.02788962,0.063216171,0.013849705,-0.011115256,0.042907524,-0.024135782999999997,-0.009409474000000001,-0.010621297,-0.027731815,-0.025318902,0.008587471
2012-03-12,0.005501718,-0.010273084,0.058013892000000004,-0.00205739,-0.026005887999999998,0.053472491,0.002175861,-0.021610708,0.033693517,-0.018123833,-0.0074481869999999985,-0.00678761,-0.024618643,-0.024932354,0.010569195
2012-03-13,0.009948547,-0.013607099,0.055962949000000005,-0.010049708000000001,-0.017936775,0.053413603,0.002242296,-0.019156231,0.026971762000000003,-0.019502301,-0.005846054,-0.003333333,-0.02627486,-0.030279652999999997,0.013879708999999999
2012-03-14,0.011790594,-0.005374193,0.072891178,0.001729356,-0.019895081000000002,0.049218149,-0.002611465,-0.026867677000000003,0.025141298,-0.018873786,-0.002274204,-0.004559646,-0.02143566,-0.037880237000000004,0.013428728999999999
2012-03-15,0.011333363,0.004379688,0.08283947400000001,0.0045327,-0.029773526,0.053871178,0.0026265209999999997,-0.022295622999999997,0.03311913,-0.024086187000000002,-0.001943005,-0.017248273999999997,-0.022370032,-0.037642586,0.014199228999999999
2012-03-16,0.006975091,0.0034522840000000003,0.07584342,-0.0050662929999999995,-0.027522037000000003,0.06273493200000001,0.005118362,-0.01934178,0.035113603,-0.026764366,-0.009038089000000001,-0.018527056,-0.025462121,-0.041020794,0.011337369
2012-03-19,-0.019522556,-0.018984525,0.071144215,-0.022300469,-0.035053554,0.080738027,0.014669143999999999,-0.00166793,0.051368505,-0.034398034,-0.015399423,-0.027984962000000002,-0.02565203,-0.06071296,0.010126582
2012-03-20,-0.039085293,-0.03611069,0.070155188,-0.035223186000000004,-0.043827399,0.089670678,0.024995156,0.015192203999999999,0.055511182,-0.035167024,-0.015359999999999999,-0.026873786,-0.025455025,-0.061250925,-0.00043478300000000016
2012-03-21,-0.039787419,-0.04094504,0.072096299,-0.047873455,-0.048191612,0.09597108800000001,0.028171751000000002,0.022028807,0.061765897,-0.036286018999999996,-0.020057307,-0.028581235,-0.023776501000000002,-0.064663858,-0.004852798
2012-03-22,-0.036990767,-0.040340093,0.070749872,-0.030254607000000006,-0.038845297,0.06772960900000001,0.022020475,0.016734475,0.044847998,-0.031520822000000004,-0.018506701,-0.025373019,-0.023448595,-0.03295048,0.003707743
2012-03-23,-0.02282065,-0.030677004,0.062331665999999994,-0.025602731,-0.038261872999999995,0.068406485,0.021372764,0.014996539,0.047609440999999995,-0.033570391,-0.016299137,-0.033755667999999996,-0.026465651,-0.043219075999999995,0.00451087
2012-03-26,-0.024838528,-0.030117845,0.059238364,-0.029879415,-0.037601234,0.07356231099999999,0.021646695,0.018985396,0.05068382900000002,-0.033379268,-0.016608112,-0.017362483,-0.022089947000000002,-0.030099083999999998,0.0015195920000000002
2012-03-27,-0.026231522,-0.035300513,0.06491837,-0.028396257,-0.034687712999999995,0.065648064,0.019082263999999998,0.018611746999999998,0.037657729,-0.027008202999999998,-0.016970861,-0.011750085,-0.022070746000000002,-0.033433509,-0.000325627
2012-03-28,-0.031056081,-0.038582385,0.062524023,-0.034077556,-0.03027648,0.066388961,0.01857763,0.022077424,0.034814521,-0.030324074,-0.017874242,-0.017549312,-0.023458666,-0.034709193,0.00043416900000000004
2012-03-29,-0.028915136,-0.03390287,0.058778332999999995,-0.031871658,-0.02155806,0.053576039000000006,0.014476118,0.018899686000000002,0.01988189,-0.025712515,-0.013422818999999999,-0.010910038,-0.022023081,-0.031737088999999996,0.003701688
2012-03-30,-0.037158676,-0.041692501,0.050654014000000004,-0.036712914,-0.024535678999999998,0.059043927999999996,0.022650202,0.022283483,0.022823414,-0.027096075,-0.015634971,-0.019345868000000002,-0.023818187999999997,-0.033533158,0.001415351
2012-04-02,-0.033735292,-0.043715847,0.065699987,-0.034950834,-0.023121387,0.05866391,0.023355516,0.020039774,0.023844714,-0.031336832,-0.019402036,-0.026119917000000003,-0.027125252000000002,-0.034256833,-0.000108873
2012-04-03,-0.038455368999999996,-0.04876248,0.054377169,-0.033187025,-0.030089189,0.065166796,0.023627075,0.020747206,0.024928564,-0.035761079,-0.024073487,-0.028607212000000007,-0.029215854,-0.052063964000000004,-0.003592814
