date,equity,bond
2017-07-02,3666.8,168.4213
2017-07-03,3650.85,168.2545
2017-07-04,3619.98,168.2271
2017-07-05,3659.68,168.4425
2017-07-06,3660.1,168.6076
2017-07-07,3655.93,168.5785
2017-07-08,3655.93,168.5785
2017-07-09,3655.93,168.5785
2017-07-10,3653.69,168.5764
2017-07-11,3670.81,168.6102
2017-07-12,3658.82,168.6326
2017-07-13,3686.92,168.7105
2017-07-14,3703.09,168.7768
2017-07-15,3703.09,168.7768
2017-07-16,3703.09,168.7768
2017-07-17,3663.56,168.8202
2017-07-18,3667.18,168.6586
2017-07-19,3729.75,168.7257
2017-07-20,3747.88,168.7645
2017-07-21,3728.6,168.5955
2017-07-22,3728.6,168.5955
2017-07-23,3728.6,168.5955
2017-07-24,3743.47,168.4508
2017-07-25,3719.56,168.35
2017-07-26,3705.39,168.1068
2017-07-27,3712.2,168.1984
2017-07-28,3721.89,168.1967
2017-07-29,3721.89,168.1967
2017-07-30,3721.89,168.1967
2017-07-31,3737.87,168.1126
2017-08-01,3770.38,168.0229
2017-08-02,3760.85,168.0947
2017-08-03,3727.83,168.1417
2017-08-04,3707.58,168.2123
2017-08-05,3707.58,168.2123
2017-08-06,3707.58,168.2123
2017-08-07,3726.8,167.9837
2017-08-08,3732.21,167.9865
2017-08-09,3731.04,167.9731
2017-08-10,3715.92,168.0639
2017-08-11,3647.35,168.2848
2017-08-12,3647.35,168.2848
2017-08-13,3647.35,168.2848
2017-08-14,3694.68,168.4028
2017-08-15,3706.06,168.4612
2017-08-16,3701.42,168.3717
2017-08-17,3721.28,168.2525
2017-08-18,3724.68,168.047
2017-08-19,3724.68,168.047
2017-08-20,3724.68,168.047
2017-08-21,3740.99,167.9105
2017-08-22,3752.3,167.8948
2017-08-23,3756.09,167.9392
2017-08-24,3734.65,167.8179
2017-08-25,3795.75,167.7376
2017-08-26,3795.75,167.7376
2017-08-27,3795.75,167.7376
2017-08-28,3842.71,167.5871
2017-08-29,3834.54,167.7092
2017-08-30,3834.3,167.738
2017-08-31,3822.09,167.8112
2017-09-01,3830.54,167.8173
2017-09-02,3830.54,167.8173
2017-09-03,3830.54,167.8173
2017-09-04,3845.62,167.7754
2017-09-05,3857.05,167.6674
2017-09-06,3849.45,167.7228
2017-09-07,3829.87,167.9735
2017-09-08,3825.99,168.1159
2017-09-09,3825.99,168.1159
2017-09-10,3825.99,168.1159
2017-09-11,3825.64,168.0917
2017-09-12,3837.93,168.0957
2017-09-13,3842.61,167.9874
2017-09-14,3829.96,168.1666
2017-09-15,3831.3,168.0575
2017-09-16,3831.3,168.0575
2017-09-17,3831.3,168.0575
2017-09-18,3843.14,167.9739
2017-09-19,3832.12,168.0107
2017-09-20,3842.43,167.97
2017-09-21,3837.82,167.8919
2017-09-22,3837.73,168.1156
2017-09-23,3837.73,168.1156
2017-09-24,3837.73,168.1156
2017-09-25,3817.79,168.393
2017-09-26,3820.78,168.3812
2017-09-27,3821.2,168.3308
2017-09-28,3822.54,168.4104
2017-09-29,3836.5,168.4593
2017-09-30,3836.5,168.4549
2017-10-01,3836.5,168.4549
2017-10-02,3836.5,168.4549
2017-10-03,3836.5,168.4549
2017-10-04,3836.5,168.4549
2017-10-05,3836.5,168.4549
2017-10-06,3836.5,168.4549
2017-10-07,3836.5,168.4549
2017-10-08,3836.5,168.4549
2017-10-09,3882.21,168.4138
2017-10-10,3889.86,168.3901
2017-10-11,3902.69,168.4073
2017-10-12,3912.95,168.2311
2017-10-13,3921,168.2977
2017-10-14,3921,168.2977
2017-10-15,3921,168.2977
2017-10-16,3913.45,168.0363
2017-10-17,3913.07,167.7925
2017-10-18,3944.16,167.8347
2017-10-19,3931.25,167.9994
2017-10-20,3926.85,168.0435
2017-10-21,3926.85,168.0435
2017-10-22,3926.85,168.0435
2017-10-23,3930.8,168.0805
2017-10-24,3959.39,168.0851
2017-10-25,3976.95,167.8022
2017-10-26,3993.58,167.8049
2017-10-27,4021.97,167.5855
2017-10-28,4021.97,167.5855
2017-10-29,4021.97,167.5855
2017-10-30,4009.72,166.9388
2017-10-31,4006.72,167.0237
2017-11-01,3996.62,167.3539
2017-11-02,3997.13,167.2945
2017-11-03,3992.7,167.258
2017-11-04,3992.7,167.258
2017-11-05,3992.7,167.258
2017-11-06,4020.89,167.3376
2017-11-07,4054.25,167.2149
2017-11-08,4048.01,167.2265
2017-11-09,4075.9,167.2562
2017-11-10,4111.91,167.1643
2017-11-11,4111.91,167.1643
2017-11-12,4111.91,167.1643
2017-11-13,4128.07,166.9155
2017-11-14,4099.35,166.8567
2017-11-15,4073.67,166.9713
2017-11-16,4105.01,167.1936
2017-11-17,4120.85,167.3043
2017-11-18,4120.85,167.3043
2017-11-19,4120.85,167.3043
2017-11-20,4143.83,167.3488
2017-11-21,4217.7,167.2879
2017-11-22,4227.57,167.0388
2017-11-23,4102.4,167.0769
2017-11-24,4104.2,167.3022
2017-11-25,4104.2,167.3022
2017-11-26,4104.2,167.3022
2017-11-27,4049.95,167.3525
2017-11-28,4055.82,167.3017
2017-11-29,4053.75,167.4988
2017-11-30,4006.1,167.6508
2017-12-01,3998.14,167.7352
2017-12-02,3998.14,167.7352
2017-12-03,3998.14,167.7352
2017-12-04,4018.86,167.8288
2017-12-05,4040.17,167.884
2017-12-06,4015.82,167.9427
2017-12-07,3971.06,167.8777
2017-12-08,4003.38,167.7797
2017-12-09,4003.38,167.7797
2017-12-10,4003.38,167.7797
2017-12-11,4069.5,167.574
2017-12-12,4016.02,167.4961
2017-12-13,4050.09,167.4933
2017-12-14,4026.15,167.5745
2017-12-15,3980.86,167.7372
2017-12-16,3980.86,167.7372
2017-12-17,3980.86,167.7372
2017-12-18,3985.29,167.8581
2017-12-19,4035.33,167.8468
2017-12-20,4030.49,167.8284
2017-12-21,4067.85,167.8357
2017-12-22,4054.6,167.9214
2017-12-23,4054.6,167.9214
2017-12-24,4054.6,167.9214
2017-12-25,4041.54,167.9628
2017-12-26,4053.62,167.8841
2017-12-27,3991.21,167.8351
2017-12-28,4018.9,167.893
2017-12-29,4030.86,167.9803
2017-12-30,4030.86,168.0047
2017-12-31,4030.86,168.023
2018-01-01,4030.86,168.023
2018-01-02,4087.4,168.0527
2018-01-03,4111.39,168.04
2018-01-04,4128.81,167.977
2018-01-05,4138.75,168.1484
2018-01-06,4138.75,168.1484
2018-01-07,4138.75,168.1484
2018-01-08,4160.16,168.344
2018-01-09,4189.3,168.4383
2018-01-10,4207.81,168.3388
2018-01-11,4205.59,168.2483
2018-01-12,4225,168.3427
2018-01-13,4225,168.3427
2018-01-14,4225,168.3427
2018-01-15,4225.24,168.2272
2018-01-16,4258.47,168.2759
2018-01-17,4248.12,168.2486
2018-01-18,4271.42,168.1799
2018-01-19,4285.4,168.2275
2018-01-20,4285.4,168.2275
2018-01-21,4285.4,168.2275
2018-01-22,4336.6,168.341
2018-01-23,4382.61,168.4244
2018-01-24,4389.89,168.4474
2018-01-25,4365.08,168.4647
2018-01-26,4381.3,168.5284
2018-01-27,4381.3,168.5284
2018-01-28,4381.3,168.5284
2018-01-29,4302.02,168.5889
2018-01-30,4256.1,168.5926
2018-01-31,4275.9,168.7016
2018-02-01,4245.9,168.7707
2018-02-02,4271.23,168.7985
2018-02-03,4271.23,168.7985
2018-02-04,4271.23,168.7985
2018-02-05,4274.15,168.7945
2018-02-06,4148.89,169.0309
2018-02-07,4050.5,169.1781
2018-02-08,4012.05,169.1291
2018-02-09,3840.65,169.2121
2018-02-10,3840.65,169.2121
2018-02-11,3840.65,169.2619
2018-02-12,3890.1,169.2808
