,portfolio_value_0.2,portfolio_value_0.3,portfolio_value_0.4,portfolio_value_0.5,portfolio_value_0.6,portfolio_value_0.7,portfolio_value_0.8
2017-06-02,1.21073408,1.23276017,1.25348303,1.27271065,1.28816423,1.30151903,1.31521138
2017-06-05,1.21076902,1.23232832,1.25254447,1.27123576,1.28608479,1.29890826,1.31208635
2017-06-06,1.21441378,1.23716965,1.25859181,1.27849522,1.29454922,1.30857258,1.32295989
2017-06-07,1.21927049,1.24384725,1.26709668,1.28882203,1.30663093,1.32244126,1.33863196
2017-06-08,1.22284545,1.2486323,1.2731133,1.296086,1.31515945,1.33220281,1.34962841
2017-06-09,1.22556734,1.251737,1.27660448,1.29998072,1.31949602,1.33694442,1.35477357
2017-06-12,1.22761566,1.2542751,1.27966211,1.30354644,1.32353863,1.34146404,1.35976699
2017-06-13,1.22971945,1.25654393,1.28207793,1.30609372,1.32616284,1.3442026,1.36262878
2017-06-14,1.2264556,1.25160894,1.27545922,1.29778117,1.31617272,1.33253262,1.3492673
2017-06-15,1.22679424,1.25154417,1.27496122,1.2968089,1.31462115,1.33048978,1.34674699
2017-06-16,1.22656808,1.25098968,1.27407426,1.29559149,1.31308649,1.32862915,1.34455758
2017-06-19,1.23230854,1.25778769,1.28195808,1.30457994,1.32321628,1.33984294,1.35685215
2017-06-20,1.23165563,1.25662817,1.28025086,1.30233357,1.32045003,1.33656277,1.35306385
2017-06-21,1.23636456,1.26306996,1.28845327,1.31229461,1.33212914,1.34996423,1.36819705
2017-06-22,1.23416532,1.26026378,1.28507124,1.30841272,1.32797474,1.3453649,1.3631212
2017-06-23,1.23756854,1.26469801,1.29052072,1.31487399,1.33540576,1.35379632,1.37256925
2017-06-26,1.24293091,1.27168452,1.29912997,1.32510476,1.34719433,1.36716555,1.38753134
2017-06-27,1.24472764,1.27379971,1.3015729,1.32787351,1.3502819,1.37056864,1.39125069
2017-06-28,1.24097085,1.26848042,1.29464943,1.31935131,1.34019554,1.35891843,1.37803094
2017-06-29,1.24283001,1.27097868,1.29780587,1.32316525,1.34465525,1.36402066,1.38377597
2017-06-30,1.24427874,1.27286779,1.30012627,1.32589337,1.34771606,1.36747059,1.38762784
2017-07-03,1.24349339,1.27128284,1.29761314,1.32247464,1.34340656,1.36222979,1.38143665
2017-07-04,1.2404225,1.26688939,1.2917856,1.31524795,1.33479739,1.35219782,1.36994684
2017-07-05,1.24464734,1.2723681,1.29860268,1.32344346,1.34439918,1.36322742,1.38244976
2017-07-06,1.24540685,1.27297638,1.29900945,1.32369163,1.34452432,1.36320663,1.38228064
2017-07-07,1.2446976,1.27195644,1.2975815,1.32190146,1.34241155,1.36074175,1.37945082
2017-07-10,1.24416046,1.27098771,1.2961951,1.32014408,1.34031497,1.35829299,1.37662789
2017-07-11,1.24475314,1.27219942,1.29816795,1.32288789,1.34383565,1.36262482,1.38179619
2017-07-12,1.24386078,1.27068005,1.2959684,1.32000509,1.34027417,1.35835949,1.3768122
2017-07-13,1.24510451,1.27218437,1.29778587,1.32215421,1.34275896,1.36119011,1.37997029
2017-07-14,1.24654638,1.27401491,1.30001152,1.32484027,1.34594311,1.36487492,1.38415544
2017-07-17,1.24181114,1.26716215,1.29100913,1.31372059,1.33271684,1.34950378,1.36655823
2017-07-18,1.24172983,1.26715052,1.29105797,1.31382767,1.33288855,1.34974023,1.3668479
2017-07-19,1.24601361,1.27280847,1.29803607,1.32228117,1.34289309,1.36130214,1.38000379
2017-07-20,1.24838669,1.27589072,1.30188659,1.32689902,1.34827834,1.36747495,1.38699166
2017-07-21,1.24784714,1.27504263,1.30069437,1.32533002,1.34630939,1.36509947,1.38419894
