,MSEUACWF INDEX,LEGATRUU INDEX
,PX_LAST,PX_LAST
date,,
23/8/2016,421.371,489.499
24/8/2016,419.285,487.9986
25/8/2016,418.516,488.0774
26/8/2016,418.418,487.7594
27/8/2016,418.418,487.7594
28/8/2016,418.418,487.7594
29/8/2016,418.036,486.6115
30/8/2016,417.767,484.0945
31/8/2016,416.613,483.0188
1/9/2016,417.351,483.8085
2/9/2016,420.17,481.9552
3/9/2016,420.17,481.9552
4/9/2016,420.17,481.9552
5/9/2016,421.278,482.7748
6/9/2016,423.816,486.5722
7/9/2016,424.289,487.6553
8/9/2016,423.696,486.1385
9/9/2016,414.904,482.1501
10/9/2016,414.904,482.1501
11/9/2016,414.904,482.1501
12/9/2016,415.583,482.4663
13/9/2016,410.891,481.3124
14/9/2016,410.35,481.3302
15/9/2016,413.203,481.4378
16/9/2016,411.183,480.5155
17/9/2016,411.183,480.5155
18/9/2016,411.183,480.5155
19/9/2016,413.263,481.2744
20/9/2016,413.354,481.7356
21/9/2016,417.687,482.3622
22/9/2016,422.533,485.6533
23/9/2016,420.017,485.092
24/9/2016,420.017,485.092
25/9/2016,420.017,485.092
26/9/2016,416.202,486.6511
27/9/2016,417.574,486.6034
28/9/2016,418.869,486.3677
29/9/2016,417.665,485.9602
30/9/2016,418.434,485.6783
1/10/2016,418.434,485.6783
2/10/2016,418.434,485.6783
3/10/2016,418.234,484.6308
4/10/2016,417.356,481.8406
5/10/2016,418.055,480.3803
6/10/2016,417.554,478.9593
7/10/2016,416.145,479.0482
8/10/2016,416.145,479.0482
9/10/2016,416.145,479.0482
10/10/2016,417.829,478.1027
11/10/2016,413.07,476.2978
12/10/2016,411.892,474.8762
13/10/2016,410,476.3777
14/10/2016,411.209,474.735
15/10/2016,411.209,474.735
16/10/2016,411.209,474.735
17/10/2016,409.823,475.0127
18/10/2016,413.388,475.7328
19/10/2016,414.85,476.5575
20/10/2016,414.268,475.449
21/10/2016,413.537,474.7669
22/10/2016,413.537,474.7669
23/10/2016,413.537,474.7669
24/10/2016,414.998,474.2674
25/10/2016,413.902,473.7454
26/10/2016,413.236,473.7498
27/10/2016,411.833,471.5582
28/10/2016,410.943,471.0249
29/10/2016,410.943,471.0249
30/10/2016,410.943,471.0249
31/10/2016,411.015,472.1983
1/11/2016,409.384,473.3608
2/11/2016,406.352,476.1862
3/11/2016,404.832,475.9575
4/11/2016,403.096,477.0822
5/11/2016,403.096,477.0822
6/11/2016,403.096,477.0822
7/11/2016,409.345,474.0615
8/11/2016,411.057,473.6363
9/11/2016,410.94,470.4136
10/11/2016,411.751,465.7588
11/11/2016,409.472,464.7749
12/11/2016,409.472,464.7749
13/11/2016,409.472,464.7749
14/11/2016,407.945,459.3821
15/11/2016,410.128,459.6123
16/11/2016,409.68,458.457
17/11/2016,411.531,458.225
18/11/2016,409.316,454.4528
19/11/2016,409.316,454.4528
20/11/2016,409.316,454.4528
21/11/2016,412.299,455.3825
22/11/2016,413.367,455.1067
23/11/2016,412.565,452.2243
24/11/2016,413.134,452.5491
25/11/2016,414.96,453.1416
26/11/2016,414.96,453.1416
27/11/2016,414.96,453.1416
28/11/2016,413.64,454.723
29/11/2016,413.928,455.1626
30/11/2016,413.43,453.4371
1/12/2016,412.46,452.0236
2/12/2016,412.25,454.1503
3/12/2016,412.25,454.1503
4/12/2016,412.25,454.1503
5/12/2016,414.273,454.3799
6/12/2016,416.754,454.5506
7/12/2016,421.701,455.9841
8/12/2016,423.084,452.9879
9/12/2016,424.556,450.58
10/12/2016,424.556,450.58
11/12/2016,424.556,450.58
12/12/2016,424.297,450.704
13/12/2016,427.519,451.7514
14/12/2016,425.073,452.3371
15/12/2016,422.364,444.9332
16/12/2016,422.298,445.2187
17/12/2016,422.298,445.2187
18/12/2016,422.298,445.2187
19/12/2016,422.906,447.6256
20/12/2016,423.479,445.9816
21/12/2016,423.183,447.5361
22/12/2016,422.253,447.5022
23/12/2016,422.49,447.943
24/12/2016,422.49,447.943
25/12/2016,422.49,447.943
26/12/2016,422.39,447.898
27/12/2016,422.951,447.3991
28/12/2016,421.11,447.4896
29/12/2016,422.018,450.2676
30/12/2016,421.839,451.3539
31/12/2016,421.839,451.3539
1/1/2017,421.839,451.3539
2/1/2017,422.223,451.3539
3/1/2017,423.615,447.6795
4/1/2017,427.214,449.2481
5/1/2017,429.572,453.2239
6/1/2017,429.679,451.2591
7/1/2017,429.679,451.2591
8/1/2017,429.679,451.2591
9/1/2017,428.215,451.2168
10/1/2017,429.166,452.5786
11/1/2017,428.904,450.3213
12/1/2017,430.55,455.0898
13/1/2017,431.549,453.4327
14/1/2017,431.549,453.4327
15/1/2017,431.549,453.4327
16/1/2017,430.233,453.6642
17/1/2017,430.333,457.0817
18/1/2017,431.1,455.8461
19/1/2017,428.841,451.9063
20/1/2017,430.221,452.4924
21/1/2017,430.221,452.4924
22/1/2017,430.221,452.4924
23/1/2017,430.399,456.3374
24/1/2017,432.703,455.7355
25/1/2017,436.169,454.2552
26/1/2017,435.959,452.311
27/1/2017,435.84,452.9716
28/1/2017,435.84,452.9716
29/1/2017,435.84,452.9716
30/1/2017,433.252,453.6275
31/1/2017,433.128,456.4424
1/2/2017,433.534,454.6625
2/2/2017,434.019,456.4589
3/2/2017,436.45,456.0482
4/2/2017,436.45,456.0482
5/2/2017,436.45,456.0482
6/2/2017,435.086,455.9965
7/2/2017,434.725,455.8376
8/2/2017,435.893,457.6687
9/2/2017,437.232,456.0426
10/2/2017,439.012,454.7178
11/2/2017,439.012,454.7178
12/2/2017,439.012,454.7178
13/2/2017,441.144,454.0941
14/2/2017,441.136,452.7071
15/2/2017,443.671,452.1708
16/2/2017,444.517,455.3099
17/2/2017,444.165,455.3888
18/2/2017,444.165,455.3888
19/2/2017,444.165,455.3888
20/2/2017,444.46,455.1535
21/2/2017,445.918,453.6028
22/2/2017,446.044,454.3409
23/2/2017,446.746,456.6924
24/2/2017,445.322,457.9365
25/2/2017,445.322,457.9365
26/2/2017,445.322,457.9365
27/2/2017,445.325,458.2317
28/2/2017,444.503,458.5996
1/3/2017,448.414,454.3167
2/3/2017,446.689,452.9148
3/3/2017,446.448,453.031
4/3/2017,446.448,453.031
5/3/2017,446.448,453.031
6/3/2017,445.911,454.0115
7/3/2017,444.913,453.4359
8/3/2017,443.571,451.3871
9/3/2017,443.208,450.3559
10/3/2017,445.524,450.8889
11/3/2017,445.524,450.8889
12/3/2017,445.524,450.8889
13/3/2017,447.052,451.3048
14/3/2017,445.61,451.2138
15/3/2017,448.2,452.6923
16/3/2017,451.359,455.4165
17/3/2017,451.259,455.9895
18/3/2017,451.259,455.9895
19/3/2017,451.259,455.9895
