date,HKD,CNY
2016-11-18,7.7567,6.8865
2016-11-21,7.756,6.8928
2016-11-22,7.7557,6.89
2016-11-23,7.7567,6.9190000000000005
2016-11-24,7.7562,6.9219
2016-11-25,7.7558,6.9188
2016-11-28,7.7567,6.9153
2016-11-29,7.7565,6.9047
2016-11-30,7.7565,6.8894
2016-12-01,7.7562,6.8856
2016-12-02,7.7553,6.88
2016-12-05,7.7549,6.8815
2016-12-06,7.7558,6.8818
2016-12-07,7.7562,6.8767
2016-12-08,7.7555,6.891
2016-12-09,7.7594,6.908
2016-12-12,7.7578,6.9069
2016-12-13,7.7559000000000005,6.9023
2016-12-14,7.7584,6.9049
2016-12-15,7.7606,6.9467
2016-12-16,7.7645,6.9615
2016-12-19,7.7666,6.9605
2016-12-20,7.7663,6.9527
2016-12-21,7.7628,6.944
2016-12-22,7.7620000000000005,6.9484
2016-12-23,7.7592,6.9462
2016-12-26,7.7608,6.9489
2016-12-27,7.7593,6.952
2016-12-28,7.7582,6.9613
2016-12-29,7.7551,6.9559
2016-12-30,7.7559000000000005,6.945
2017-01-02,7.757,6.945
2017-01-03,7.7564,6.964
2017-01-04,7.7553,6.9342
2017-01-05,7.7544,6.8767
2017-01-06,7.7557,6.9241
2017-01-09,7.7562,6.9375
2017-01-10,7.7546,6.9215
2017-01-11,7.7548,6.9376999999999995
2017-01-12,7.7542,6.8941
2017-01-13,7.7549,6.9005
2017-01-16,7.7553,6.9008
2017-01-17,7.7557,6.845
2017-01-18,7.7562999999999995,6.8496
2017-01-19,7.7572,6.872
2017-01-20,7.7569,6.8765
2017-01-23,7.7564,6.8537
2017-01-24,7.7573,6.859
2017-01-25,7.7574,6.8836
2017-01-26,7.7581,6.884
2017-01-27,7.7593,6.884
2017-01-30,7.7585,6.884
2017-01-31,7.759,6.884
2017-02-01,7.7596,6.884
2017-02-02,7.7597000000000005,6.884
2017-02-03,7.7576,6.8672
2017-02-06,7.7584,6.8629999999999995
2017-02-07,7.7586,6.8853
2017-02-08,7.7596,6.8638
2017-02-09,7.7583,6.8690999999999995
2017-02-10,7.758,6.8785
2017-02-13,7.7592,6.8802
2017-02-14,7.7597000000000005,6.8675
2017-02-15,7.7594,6.8711
2017-02-16,7.7595,6.853
2017-02-17,7.7612,6.8665
2017-02-20,7.7608,6.8785
2017-02-21,7.7612,6.884
2017-02-22,7.7607,6.8778
2017-02-23,7.7596,6.8661
2017-02-24,7.7609,6.8690999999999995
2017-02-27,7.7613,6.8708
2017-02-28,7.7623999999999995,6.867
2017-03-01,7.763,6.8819
2017-03-02,7.7623999999999995,6.8899
2017-03-03,7.763,6.8999
2017-03-06,7.7643,6.897
2017-03-07,7.7644,6.9025
2017-03-08,7.7661,6.9131
2017-03-09,7.7645,6.911
2017-03-10,7.7644,6.9093
2017-03-13,7.7646,6.9143
2017-03-14,7.7672,6.915
2017-03-15,7.7657,6.9149
2017-03-16,7.7638,6.898
2017-03-17,7.7620000000000005,6.9033999999999995
2017-03-20,7.7653,6.9085
2017-03-21,7.766,6.8873999999999995
2017-03-22,7.7657,6.8819
2017-03-23,7.7669,6.8863
2017-03-24,7.7664,6.8837
2017-03-27,7.7672,6.8729
2017-03-28,7.7681000000000004,6.8795
2017-03-29,7.7691,6.8901
2017-03-30,7.7697,6.8894
2017-03-31,7.7709,6.8872
2017-04-03,7.7713,6.8872
2017-04-04,7.7708,6.8872
2017-04-05,7.769,6.8948
2017-04-06,7.77,6.8977
2017-04-07,7.7688,6.9005
2017-04-10,7.7702,6.9030000000000005
2017-04-11,7.7711,6.8921
2017-04-12,7.7711,6.8915
2017-04-13,7.7741,6.89
2017-04-14,7.7728,6.8854
2017-04-17,7.7722,6.8803
2017-04-18,7.7735,6.882
2017-04-19,7.7743,6.888
2017-04-20,7.7748,6.8822
2017-04-21,7.7752,6.8859
2017-04-24,7.7793,6.8847000000000005
2017-04-25,7.7794,6.8847000000000005
2017-04-26,7.7803,6.8926
2017-04-27,7.7811,6.8979
2017-04-28,7.7783999999999995,6.8934999999999995
2017-05-01,7.7786,6.8934999999999995
2017-05-02,7.7812,6.8959
2017-05-03,7.7821,6.8989
2017-05-04,7.7823,6.896
2017-05-05,7.7838,6.9031
2017-05-08,7.7844,6.9045
2017-05-09,7.7838,6.9074
2017-05-10,7.7864,6.9032
2017-05-11,7.7894,6.9037
2017-05-12,7.7939,6.8995
2017-05-15,7.788,6.8934999999999995
2017-05-16,7.7879000000000005,6.8867
2017-05-17,7.7851,6.8784
2017-05-18,7.7818000000000005,6.8892
2017-05-19,7.7833,6.885
2017-05-22,7.7848,6.8864
2017-05-23,7.7881,6.8852
2017-05-24,7.7888,6.8901
2017-05-25,7.7917,6.8685
2017-05-26,7.7933,6.8555
2017-05-29,7.7939,6.8555
2017-05-30,7.7929,6.8555
2017-05-31,7.7921,6.818
2017-06-01,7.7915,6.8083
2017-06-02,7.789,6.8100000000000005
2017-06-05,7.7925,6.804
2017-06-06,7.7938,6.7952
2017-06-07,7.7949,6.7957
2017-06-08,7.7974,6.8003
2017-06-09,7.7972,6.798
2017-06-12,7.7994,6.7982
2017-06-13,7.7976,6.7991
2017-06-14,7.7978,6.7917
2017-06-15,7.8016,6.8078
2017-06-16,7.8008,6.8105
2017-06-19,7.8002,6.8195
2017-06-20,7.8008,6.8292
2017-06-21,7.8014,6.8295
2017-06-22,7.7989,6.8347999999999995
2017-06-23,7.8002,6.8366
2017-06-26,7.7988,6.8411
2017-06-27,7.8006,6.8126
2017-06-28,7.804,6.7998
2017-06-29,7.8057,6.787
2017-06-30,7.8072,6.7809
2017-07-03,7.8111,6.8003
2017-07-04,7.8072,6.8007
2017-07-05,7.8078,6.8019
2017-07-06,7.8105,6.8015
2017-07-07,7.8119,6.8057
2017-07-10,7.8126999999999995,6.8036
2017-07-11,7.8126999999999995,6.8025
2017-07-12,7.8113,6.7878
2017-07-13,7.8084,6.7835
2017-07-14,7.8039,6.7753
2017-07-17,7.8044,6.77
2017-07-18,7.8055,6.7466
2017-07-19,7.8082,6.7519
2017-07-20,7.8103,6.7597000000000005
2017-07-21,7.8094,6.7667
2017-07-24,7.8067,6.7512
2017-07-25,7.8088999999999995,6.751
2017-07-26,7.8092,6.754
2017-07-27,7.8091,6.743
2017-07-28,7.8098,6.7369
2017-07-31,7.8102,6.7266
2017-08-01,7.8133,6.7179
2017-08-02,7.8166,6.7217
2017-08-03,7.8173,6.7172
2017-08-04,7.8195,6.7289
2017-08-07,7.8198,6.7215
2017-08-08,7.8234,6.7061
2017-08-09,7.8151,6.6743
2017-08-10,7.8176,6.647
2017-08-11,7.8184000000000005,6.6636
2017-08-14,7.8213,6.6712
2017-08-15,7.8238,6.6855
2017-08-16,7.8216,6.6916
2017-08-17,7.8236,6.6754999999999995
2017-08-18,7.8237,6.6704
2017-08-21,7.8238,6.666
2017-08-22,7.8262,6.6624
2017-08-23,7.8254,6.659
2017-08-24,7.8228,6.662
2017-08-25,7.8183,6.6465
2017-08-28,7.8237,6.6144
2017-08-29,7.8248,6.5968
2017-08-30,7.8252,6.594
2017-08-31,7.8259,6.5901
2017-09-01,7.8248999999999995,6.5584
2017-09-04,7.8252,6.5309
2017-09-05,7.8259,6.5388
2017-09-06,7.8254,6.5242
2017-09-07,7.8133,6.487
2017-09-08,7.8134,6.4944
2017-09-11,7.8108,6.5292
2017-09-12,7.8114,6.5354
2017-09-13,7.8128,6.5415
2017-09-14,7.8131,6.556
2017-09-15,7.8187999999999995,6.5526
2017-09-18,7.8167,6.5752
2017-09-19,7.8048,6.5835
2017-09-20,7.8011,6.5748999999999995
2017-09-21,7.8045,6.5904
2017-09-22,7.8093,6.5901
2017-09-25,7.8141,6.6215
2017-09-26,7.8118,6.6398
2017-09-27,7.8095,6.6425
2017-09-28,7.8122,6.6608
2017-09-29,7.811,6.6528
2017-10-02,7.8124,6.6528
2017-10-03,7.8107,6.6528
2017-10-04,7.807,6.6528
2017-10-05,7.8095,6.6528
2017-10-06,7.8064,6.6528
2017-10-09,7.8064,6.6251
2017-10-10,7.8041,6.5743
2017-10-11,7.8067,6.5903
2017-10-12,7.808,6.5875
2017-10-13,7.807,6.5796
2017-10-16,7.8074,6.5898
2017-10-17,7.8082,6.6236
