Date,000016.SH,000905.SH,CBA00101.CS,CCFI.WI,CCCI.FMM,H11025.CSI,885009.WI
2001-11-30,,,,368.8626,,,
2001-12-03,,,,367.5424,,,
2001-12-04,,,,358.5139,,,
2001-12-05,,,,359.5246,,,
2001-12-06,,,,359.4969,,,
2001-12-07,,,,355.9231,,,
2001-12-10,,,,355.1525,,,
2001-12-11,,,,355.3929,,,
2001-12-12,,,,356.366,,,
2001-12-13,,,,352.1515,,,
2001-12-14,,,,352.58,,,
2001-12-17,,,,353.1623,,,
2001-12-18,,,,355.8822,,,
2001-12-19,,,,357.5603,,,
2001-12-20,,,,354.8587,,,
2001-12-21,,,,354.0183,,,
2001-12-24,,,,356.1162,,,
2001-12-25,,,,355.8737,,,
2001-12-26,,,,355.5874,,,
2001-12-27,,,,358.5396,,,
2001-12-28,,,,355.97,,,
2001-12-31,,,,355.97,,,
2002-01-04,,,99.9731,355.97,,,
2002-01-07,,,100.0149,355.97,,,
2002-01-08,,,99.8273,365.6141,,,
2002-01-09,,,100.0203,366.2154,,,
2002-01-10,,,99.9317,365.3204,,,
2002-01-11,,,100.2721,365.344,,,
2002-01-14,,,100.254,365.9006,,,
2002-01-15,,,100.2575,365.9775,,,
2002-01-16,,,100.3506,363.6921,,,
2002-01-17,,,100.2986,365.2317,,,
2002-01-18,,,100.193,363.6856,,,
2002-01-21,,,100.4665,361.4178,,,
2002-01-22,,,100.4194,363.1387,,,
2002-01-23,,,100.5104,363.165,,,
2002-01-24,,,100.5444,366.4275,,,
2002-01-25,,,100.511,366.3406,,,
2002-01-28,,,100.8871,362.3299,,,
2002-01-29,,,100.8255,361.7137,,,
2002-01-30,,,100.6743,360.8734,,,
2002-01-31,,,100.8346,362.1046,,,
2002-02-01,,,100.7591,367.6597,,,
2002-02-04,,,101.0281,367.2227,,,
2002-02-05,,,101.0025,367.5988,,,
2002-02-06,,,101.0266,367.3238,,,
2002-02-07,,,101.057,367.0703,,,
2002-02-08,,,101.0462,367.5014,,,
2002-02-25,,,101.3459,361.661,,,
2002-02-26,,,101.3766,361.6564,,,
2002-02-27,,,101.4663,361.3887,,,
2002-02-28,,,101.5939,361.871,,,
2002-03-01,,,101.5924,359.574,,,
2002-03-04,,,101.6803,363.2278,,,
2002-03-05,,,101.7592,364.0337,,,
2002-03-06,,,101.7855,365.1972,,,
2002-03-07,,,101.8761,364.9916,,,
2002-03-08,,,101.804,364.2725,,,
2002-03-11,,,101.9464,364.0262,,,
2002-03-12,,,102.141,362.7545,,,
2002-03-13,,,102.1639,362.1317,,,
2002-03-14,,,102.1606,363.5172,,,
2002-03-15,,,102.2204,363.1859,,,
2002-03-18,,,102.2694,366.5496,,,
2002-03-19,,,102.3295,368.1524,,,
2002-03-20,,,102.1552,366.5625,,,
2002-03-21,,,102.5672,367.0091,,,
2002-03-22,,,102.6537,365.8637,,,
2002-03-25,,,102.5361,363.2474,,,
2002-03-26,,,102.7192,364.8818,,,
2002-03-27,,,102.6818,364.3767,,,
2002-03-28,,,102.5922,366.0134,,,
2002-03-29,,,102.7205,367.5272,,,
2002-04-01,,,102.8342,367.7446,,,
2002-04-02,,,102.8501,367.3244,,,
2002-04-03,,,103.0595,366.0268,,,
2002-04-04,,,103.1505,362.1326,,,
2002-04-05,,,103.0816,362.0452,,,
2002-04-08,,,103.5017,360.4282,,,
2002-04-09,,,103.2864,360.9793,,,
2002-04-10,,,103.4944,359.3505,,,
2002-04-11,,,103.5399,359.1367,,,
2002-04-12,,,103.6122,356.0411,,,
2002-04-15,,,103.5622,355.634,,,
2002-04-16,,,103.6297,356.696,,,
2002-04-17,,,103.7819,359.6268,,,
2002-04-18,,,103.9761,357.9571,,,
2002-04-19,,,104.0668,358.1074,,,
2002-04-22,,,104.0613,358.1053,,,
2002-04-23,,,103.9202,358.9293,,,
2002-04-24,,,104.2197,357.0303,,,
2002-04-25,,,104.1674,355.8481,,,
2002-04-26,,,104.1824,357.2463,,,
2002-04-29,,,104.337,357.3138,,,
2002-04-30,,,104.2087,357.292,,,
2002-05-08,,,104.4712,357.2644,,,
2002-05-09,,,104.382,358.1355,,,
2002-05-10,,,104.219,358.5995,,,
2002-05-13,,,104.4653,358.5901,,,
2002-05-14,,,104.4872,357.7456,,,
2002-05-15,,,104.5315,358.3895,,,
2002-05-16,,,104.5337,358.263,,,
2002-05-17,,,104.4422,356.937,,,
2002-05-20,,,104.7532,355.3523,,,
2002-05-21,,,104.6799,355.8069,,,
2002-05-22,,,104.8123,356.0903,,,
2002-05-23,,,104.8703,356.2113,,,
2002-05-24,,,104.9116,357.7683,,,
2002-05-27,,,105.0911,356.821,,,
2002-05-28,,,105.1627,359.6734,,,
2002-05-29,,,105.2403,361.7163,,,
2002-05-30,,,105.3871,360.6098,,,
2002-05-31,,,105.4185,361.785,,,
2002-06-03,,,105.4349,362.5324,,,
2002-06-04,,,105.1802,363.542,,,
2002-06-05,,,105.2876,367.2668,,,
2002-06-06,,,105.3017,366.8077,,,
2002-06-07,,,104.9827,365.0475,,,
2002-06-10,,,105.2752,365.7714,,,
2002-06-11,,,105.0998,364.5423,,,
2002-06-12,,,105.1514,363.7607,,,
2002-06-13,,,105.2552,363.7758,,,
2002-06-14,,,105.3227,362.7851,,,
2002-06-17,,,105.3191,363.9805,,,
2002-06-18,,,105.185,363.8244,,,
2002-06-19,,,105.0452,362.4951,,,
2002-06-20,,,105.0361,363.0551,,,
