MSCI Index Code,BBG Ticker,Bloomberg Index Name,Size,Style,Variant,Currency,Extra Info
105810,MVLASGF,MSCI Value Singapore Free Local,Standard,Value,Price,Local,
105810,MVUASGF,MSCI Value Singapore Free USD,Standard,Value,Price,USD,
105810,NAVLSGF,MSCI Daily TR Net Value Singapore Free Local,Standard,Value,Net,Local,
105810,NAVUSGF,MSCI Daily TR Net Value Singapore Free USD,Standard,Value,Net,USD,
105811,DLGASG,MSCI Daily TR Growth Gross Singapore Local,Standard,Growth,Gross,Local,
105811,DUGASG,MSCI Daily TR Growth Gross Singapore USD,Standard,Growth,Gross,USD,
105811,MGLASG,MSCI Growth Singapore Local,Standard,Growth,Price,Local,
105811,MGUASG,MSCI Growth Singapore USD,Standard,Growth,Price,USD,
105811,NAGLSG,MSCI Daily TR Net Growth Singapore Local,Standard,Growth,Net,Local,
105811,NAGUSG,MSCI Daily TR Net Growth Singapore USD,Standard,Growth,Net,USD,
105812,DLVASG,MSCI Daily TR Value Gross Singapore Local,Standard,Value,Gross,Local,
105812,DUVASG,MSCI Daily TR Value Gross Singapore USD,Standard,Value,Gross,USD,
105812,MVLASG,MSCI Value Singapore Local,Standard,Value,Price,Local,
105812,MVUASG,MSCI Value Singapore USD,Standard,Value,Price,USD,
105812,NAVLSG,MSCI Daily TR Net Value Singapore Local,Standard,Value,Net,Local,
105812,NAVUSG,MSCI Daily TR Net Value Singapore USD,Standard,Value,Net,USD,
105813,GDLGSP,MSCI Daily TR Gross Growth Spain Local,Standard,Growth,Gross,Local,
105813,GDUGSP,MSCI Daily TR Gross Growth Spain USD,Standard,Growth,Gross,USD,
105813,MGLDSP,MSCI Growth Spain Local,Standard,Growth,Price,Local,
105813,MGUDSP,MSCI Growth Spain USD,Standard,Growth,Price,USD,
105813,NDUGSP,MSCI Daily TR Net Growth Spain USD,Standard,Growth,Net,USD,
105813,NLDGSP,MSCI Daily TR Net Growth Spain Local,Standard,Growth,Net,Local,
105814,GDLVSP,MSCI Daily TR Gross Value Spain Local,Standard,Value,Gross,Local,
105814,GDUVSP,MSCI Daily TR Gross Value Spain USD,Standard,Value,Gross,USD,
105814,MVLDSP,MSCI Value Spain Local,Standard,Value,Price,Local,
105814,MVUDSP,MSCI Value Spain USD,Standard,Value,Price,USD,
