,HK_10_3081,HK_10_3081
2017-07-24,10000.0000,30.6000
2017-07-25,10000.0000,30.6000
2017-07-26,10000.0000,30.4000
2017-07-27,10000.0000,30.7500
2017-07-28,10000.0000,30.7000
2017-07-31,10000.0000,30.9000
2017-08-01,10000.0000,31.0500
2017-08-02,10000.0000,30.9500
2017-08-03,10000.0000,30.8500
2017-08-04,10000.0000,31.0000
2017-08-07,10000.0000,30.8000
2017-08-08,10000.0000,30.8000
2017-08-09,10000.0000,31.1000
2017-08-10,10000.0000,31.3000
2017-08-11,10000.0000,31.5000
2017-08-14,10000.0000,31.3000
2017-08-15,10000.0000,31.1500
2017-08-16,10000.0000,31.0000
2017-08-17,10000.0000,31.5000
2017-08-18,10000.0000,31.6000
2017-08-21,10000.0000,31.5000
2017-08-22,10000.0000,31.3500
2017-08-23,10000.0000,31.3500
2017-08-24,10000.0000,31.5000
2017-08-25,10000.0000,31.4500
2017-08-28,10000.0000,31.7000
2017-08-29,10000.0000,32.3000
2017-08-30,10000.0000,31.9500
2017-08-31,10000.0000,32.0000
2017-09-01,10000.0000,32.2000
2017-09-04,10000.0000,32.7000
2017-09-05,10000.0000,32.6000
2017-09-06,10000.0000,32.7500
2017-09-07,10000.0000,32.6500
2017-09-08,10000.0000,32.9500
2017-09-11,10000.0000,32.6000
2017-09-12,10000.0000,32.4000
2017-09-13,10000.0000,32.4500
2017-09-14,10000.0000,32.2500
2017-09-15,10000.0000,32.3000
2017-09-18,10000.0000,32.0000
2017-09-19,10000.0000,31.8500
2017-09-20,10000.0000,32.0000
2017-09-21,10000.0000,31.5500
2017-09-22,10000.0000,31.6500
2017-09-25,10000.0000,31.5000
2017-09-26,10000.0000,31.9500
2017-09-27,10000.0000,31.6000
2017-09-28,10000.0000,31.3000
2017-09-29,10000.0000,31.4500
2017-10-03,10000.0000,31.1000
2017-10-04,10000.0000,31.2000
2017-10-06,10000.0000,31.0500
2017-10-09,10000.0000,31.3000
2017-10-10,10000.0000,31.4500
2017-10-11,10000.0000,31.4500
2017-10-12,10000.0000,31.6500
2017-10-13,10000.0000,31.7000
2017-10-16,10000.0000,31.8500
2017-10-17,10000.0000,31.5000
2017-10-18,10000.0000,31.4000
2017-10-19,10000.0000,31.3000
2017-10-20,10000.0000,31.3000
2017-10-23,10000.0000,31.1000
2017-10-24,10000.0000,31.2000
2017-10-25,10000.0000,31.1000
2017-10-26,10000.0000,31.2000
2017-10-27,10000.0000,30.9500
2017-10-30,10000.0000,31.0000
2017-10-31,10000.0000,31.2000
2017-11-01,10000.0000,31.0500
2017-11-02,10000.0000,31.2500
2017-11-03,10000.0000,31.2000
2017-11-06,10000.0000,31.0000
2017-11-07,10000.0000,31.1500
2017-11-08,10000.0000,31.1500
2017-11-09,10000.0000,31.4000
2017-11-10,10000.0000,31.4000
2017-11-13,10000.0000,31.0500
2017-11-14,10000.0000,31.2000
2017-11-15,10000.0000,31.3000
2017-11-16,10000.0000,31.1000
2017-11-17,10000.0000,31.3000
2017-11-20,10000.0000,31.6000
2017-11-21,10000.0000,31.2500
2017-11-22,10000.0000,31.5000
2017-11-23,10000.0000,31.5000
2017-11-24,10000.0000,31.5000
2017-11-27,10000.0000,31.4500
2017-11-28,10000.0000,31.6000
2017-11-29,10000.0000,31.6000
2017-11-30,10000.0000,31.3000
2017-12-01,10000.0000,31.1000
2017-12-04,10000.0000,31.1500
2017-12-05,10000.0000,31.2000
2017-12-06,10000.0000,30.9500
2017-12-07,10000.0000,30.6500
2017-12-08,10000.0000,30.5500
2017-12-11,10000.0000,30.5500
2017-12-12,10000.0000,30.4500
2017-12-13,10000.0000,30.4000
2017-12-14,10000.0000,30.6500
2017-12-15,10000.0000,30.7500
2017-12-18,10000.0000,30.7500
2017-12-19,10000.0000,30.9500
2017-12-20,10000.0000,30.9500
2017-12-21,10000.0000,30.9000
2017-12-22,10000.0000,30.9000
2017-12-27,10000.0000,31.4000
2017-12-28,10000.0000,31.6000
2017-12-29,10000.0000,31.6000
2018-01-02,10000.0000,31.9000
2018-01-03,10000.0000,32.0000
2018-01-04,10000.0000,32.0000
2018-01-05,10000.0000,32.2000
2018-01-08,10000.0000,32.1500
2018-01-09,10000.0000,32.0500
2018-01-10,10000.0000,31.9000
2018-01-11,10000.0000,32.1000
2018-01-12,10000.0000,32.2500
2018-01-15,10000.0000,32.6500
2018-01-16,10000.0000,32.5500
2018-01-17,10000.0000,32.5500
2018-01-18,10000.0000,32.4500
2018-01-19,10000.0000,32.4000
2018-01-22,10000.0000,32.4000
2018-01-23,10000.0000,32.6000
2018-01-24,10000.0000,32.7500
2018-01-25,10000.0000,33.1000
2018-01-26,10000.0000,33.0000
2018-01-29,10000.0000,32.7500
2018-01-30,10000.0000,32.4500
2018-01-31,10000.0000,32.7500
2018-02-01,10000.0000,32.6500
2018-02-02,10000.0000,32.9500
2018-02-05,10000.0000,32.4000
2018-02-06,10000.0000,32.8000
2018-02-07,10000.0000,32.3500
2018-02-08,10000.0000,32.0500
2018-02-09,10000.0000,32.5000
2018-02-12,10000.0000,32.3500
2018-02-13,10000.0000,32.4000
2018-02-14,10000.0000,32.5500
