,SmartGlobal Max-Growth,Benchmark-Growth
2018/1/17,1.329245257,1.267116375
2018/1/18,1.326746463,1.2657324
2018/1/19,1.332107453,1.26918472
2018/1/22,1.339036419,1.273857216
2018/1/23,1.342944646,1.278903951
2018/1/24,1.343107697,1.279601708
2018/1/25,1.341672228,1.281729327
2018/1/26,1.350186157,1.286643472
2018/1/29,1.341164393,1.2806755
2018/1/30,1.331032258,1.271501504
2018/1/31,1.332205878,1.272077442
2018/2/1,1.330877286,1.270230795
2018/2/2,1.309619925,1.253091251
2018/2/5,1.276810057,1.229381714
2018/2/6,1.291201203,1.225233916
2018/2/7,1.281109559,1.224282548
2018/2/8,1.252633558,1.203785894
2018/2/9,1.260375206,1.204251652
2018/2/12,1.272713936,1.213195345
2018/2/13,1.27411226,1.215787623
2018/2/14,1.287786267,1.22448683
2018/2/15,1.298094848,1.23519573
2018/2/16,1.299030833,1.237785775
2018/2/20,1.291209969,1.233038943
2018/2/21,1.286684666,1.230596225
2018/2/22,1.288425984,1.229869134
2018/2/23,1.301601756,1.240177668
2018/2/26,1.310424437,1.247281076
2018/2/27,1.295979301,1.239070355
2018/2/28,1.285996833,1.230755221
2018/3/1,1.276856138,1.22208094
2018/3/2,1.281477459,1.219994024
2018/3/5,1.286809602,1.224776442
2018/3/6,1.290667611,1.230297375
2018/3/7,1.290006115,1.229059412
2018/3/8,1.292306026,1.233156956
2018/3/9,1.303447316,1.241876608
2018/3/12,1.304134033,1.24532895
2018/3/13,1.298555279,1.242507872
2018/3/14,1.297578087,1.239286203
2018/3/15,1.295673813,1.238467134
2018/3/16,1.295566665,1.238077991
2018/3/19,1.286554887,1.229337993
2018/3/20,1.288662879,1.229208511
2018/3/21,1.290940268,1.228076947
2018/3/22,1.272511128,1.216008321
2018/3/23,1.260139054,1.201552796
2018/3/26,1.278916557,1.213366058
2018/3/27,1.268536652,1.210156229
2018/3/28,1.266419263,1.205831478
2018/3/29,1.278261829,1.21333643
2018/4/2,1.263955368,1.204375768
2018/4/3,1.272050631,1.206949418
2018/4/4,1.277121185,1.209975112
2018/4/5,1.281672444,1.216856645
2018/4/6,1.269435811,1.208166395
2018/4/9,1.272933072,1.211121938
2018/4/10,1.28509761,1.221807901
2018/4/11,1.283863485,1.219526558
2018/4/12,1.286922593,1.221614059
2018/4/13,1.284607591,1.220442083
2018/4/16,1.288407477,1.223698687
2018/4/17,1.293579409,1.229855125
2018/4/18,1.295833239,1.232181526
2018/4/19,1.291295298,1.229074966
2018/4/20,1.284264252,1.221409289
2018/4/23,1.282605759,1.219320431
2018/4/24,1.276796565,1.213313203
2018/4/25,1.275545199,1.209668613
2018/4/26,1.282192385,1.216090458
2018/4/27,1.283502671,1.219168279
2018/4/30,1.279162987,1.217012008
2018/5/1,1.278144379,1.214976299
2018/5/2,1.274401604,1.211824007
2018/5/3,1.273847675,1.209227935
2018/5/4,1.280166788,1.21531538
2018/5/7,1.281942042,1.218180831
2018/5/8,1.282481185,1.21739489
2018/5/9,1.287165008,1.221891735
2018/5/10,1.295878993,1.228369804
2018/5/11,1.296497169,1.232138771
2018/5/14,1.297270827,1.233675797
2018/5/15,1.288907725,1.224692883
2018/5/16,1.293375617,1.225862671
2018/5/17,1.29144274,1.22549035
2018/5/18,1.288902178,1.224234027
2018/5/21,1.294256101,1.227604749
2018/5/22,1.292824033,1.227434889
2018/5/23,1.292138813,1.225972715
2018/5/24,1.291058097,1.225042635
2018/5/25,1.289589517,1.223756527
2018/5/29,1.28029673,1.216907413
2018/5/30,1.289325565,1.219997299
2018/5/31,1.28564098,1.218469779
2018/6/1,1.291821468,1.223346128
2018/6/4,1.294697822,1.228329122
2018/6/5,1.29484628,1.227558286
2018/6/6,1.301779704,1.232729343
2018/6/7,1.298486911,1.233849539
2018/6/8,1.299610752,1.232541796
2018/6/11,1.301262612,1.234676082
2018/6/12,1.300927465,1.235294284
2018/6/13,1.298143833,1.232690907
2018/6/14,1.298883165,1.233239878
2018/6/15,1.295477229,1.229980221
2018/6/18,1.292355549,1.226333319
2018/6/19,1.287339952,1.220180358
2018/6/20,1.289333036,1.222362665
2018/6/21,1.282701403,1.21755585
2018/6/22,1.287466192,1.221168368
