,Dymon-AQUMON,Dymon-AQUMON (VaR-adjusted),PLMAX US Equity,MERKX US Equity,ICPHX US Equity
2018/10/10,1.329829148,2.271539338,0.981818182,0.83273703,0.85443787
2018/10/11,1.329195983,2.267931638,0.988311688,0.838103757,0.85443787
2018/10/12,1.32961098,2.272176649,0.98961039,0.838103757,0.857988166
2018/10/15,1.328497226,2.261248894,0.992207792,0.839892665,0.857988166
2018/10/16,1.329328969,2.270493195,0.997402597,0.84078712,0.862721893
2018/10/17,1.329130774,2.268132775,0.996103896,0.836314848,0.867455621
2018/10/18,1.331355115,2.282076862,0.98961039,0.831842576,0.861538462
2018/10/19,1.32985781,2.266328574,0.990909091,0.834525939,0.86035503
2018/10/22,1.331520706,2.289912757,0.98961039,0.83273703,0.862721893
2018/10/23,1.331134086,2.287166734,0.98961039,0.83273703,0.862721893
2018/10/24,1.331459412,2.290095341,0.985714286,0.829159213,0.859171598
2018/10/25,1.331733938,2.292130122,0.988311688,0.828264758,0.862721893
2018/10/26,1.330462825,2.281905512,0.988311688,0.829159213,0.862721893
2018/10/29,1.333128888,2.308580302,0.983116883,0.82647585,0.857988166
2018/10/30,1.334480708,2.32466008,0.983116883,0.824686941,0.857988166
2018/10/31,1.333172897,2.311300153,0.983116883,0.822898032,0.856804734
2018/11/1,1.335479216,2.343478759,0.992207792,0.830053667,0.857988166
2018/11/2,1.336593138,2.356769775,0.994805195,0.828264758,0.863905325
2018/11/5,1.337217825,2.366172429,0.994805195,0.829159213,0.863905325
2018/11/6,1.336288432,2.351371508,0.996103896,0.828264758,0.865088757
2018/11/7,1.335337734,2.341163738,0.998701299,0.830053667,0.867455621
2018/11/8,1.335253764,2.340376619,0.993506494,0.82647585,0.867455621
2018/11/9,1.338054154,2.363505063,0.98961039,0.822898032,0.867455621
2018/11/12,1.339803758,2.378386995,0.983116883,0.816636852,0.867455621
2018/11/13,1.340322837,2.382352539,0.984415584,0.819320215,0.862721893
2018/11/14,1.339337105,2.374178212,0.987012987,0.821109123,0.862721893
2018/11/15,1.337787478,2.361384257,0.993506494,0.821109123,0.865088757
2018/11/16,1.337217754,2.357345883,0.994805195,0.825581395,0.865088757
2018/11/19,1.335993773,2.349183422,0.994805195,0.825581395,0.861538462
2018/11/20,1.338264676,2.36130109,0.990909091,0.819320215,0.863905325
2018/11/21,1.339253823,2.367728803,0.993506494,0.822003578,0.865088757
2018/11/22,1.337792326,2.358134314,0.993506494,0.822003578,0.865088757
2018/11/23,1.336023712,2.3452256,0.992207792,0.820214669,0.863905325
2018/11/26,1.336028561,2.34525741,0.988311688,0.819320215,0.859171598
2018/11/27,1.336379238,2.347561626,0.987012987,0.816636852,0.863905325
2018/11/28,1.335956358,2.34438371,0.993506494,0.821109123,0.862721893
2018/11/29,1.33473767,2.336892492,0.997402597,0.820214669,0.866272189
2018/11/30,1.33431236,2.333829661,0.996103896,0.817531306,0.868639053
2018/12/3,1.33430374,2.333776458,1,0.821109123,0.869822485
2018/12/4,1.335497107,2.341690347,0.997402597,0.821109123,0.866272189
2018/12/5,1.337208047,2.354188618,0.997402597,0.821109123,0.866272189
2018/12/6,1.339905588,2.371483343,0.996103896,0.821109123,0.862721893
2018/12/7,1.340077059,2.372473199,0.994805195,0.822003578,0.861538462
2018/12/10,1.343133831,2.390754442,0.98961039,0.816636852,0.862721893
2018/12/11,1.34395143,2.395731131,0.990909091,0.815742397,0.866272189
2018/12/12,1.34254349,2.38711342,0.996103896,0.81842576,0.868639053
2018/12/13,1.340583258,2.375436238,0.994805195,0.81842576,0.867455621
2018/12/14,1.341848601,2.382936382,0.98961039,0.814847943,0.866272189
2018/12/17,1.341770734,2.382282216,0.992207792,0.815742397,0.867455621
2018/12/18,1.340081754,2.371086644,0.994805195,0.814847943,0.868639053
2018/12/19,1.341665043,2.382962064,0.993506494,0.813953488,0.868639053
2018/12/20,1.344440922,2.403886928,0.997402597,0.819320215,0.868639053
2018/12/21,1.346335064,2.414674661,0.992207792,0.81216458,0.868639053
2018/12/24,1.34697232,2.419022086,0.994805195,0.815742397,0.865088757
2018/12/25,1.34880329,2.429792826,0.994805195,0.815742397,0.865088757
2018/12/26,1.348013998,2.423662598,0.994805195,0.813953488,0.868639053
2018/12/27,1.34637934,2.410860216,0.997402597,0.815742397,0.871005917
2018/12/28,1.348749917,2.428608427,1,0.817531306,0.869822485
2018/12/31,1.347121308,2.416908201,1.005194805,0.820214669,0.869822485
2019/1/1,1.348310361,2.423701291,1.005194805,0.820214669,0.869822485
2019/1/2,1.348658517,2.425836996,1.003896104,0.814847943,0.875739645
2019/1/3,1.355175098,2.467360632,1.003896104,0.819320215,0.872189349
2019/1/4,1.348769041,2.415013002,1.012987013,0.822003578,0.880473373
2019/1/7,1.344644297,2.386076727,1.015584416,0.827370304,0.879289941
2019/1/8,1.344181773,2.383306651,1.012987013,0.825581395,0.880473373
2019/1/9,1.344855958,2.386971603,1.018181818,0.831842576,0.878106509
2019/1/10,1.346830566,2.397497539,1.018181818,0.828264758,0.881656805
2019/1/11,1.345049531,2.389607097,1.018181818,0.82647585,0.882840237
2019/1/14,1.341888817,2.371511147,1.018181818,0.827370304,0.884023669
2019/1/15,1.341380575,2.368631909,1.018181818,0.825581395,0.886390533
2019/1/16,1.341746202,2.371014984,1.019480519,0.824686941,0.888757396
2019/1/17,1.342887698,2.379412834,1.018181818,0.824686941,0.886390533
2019/1/18,1.342901383,2.379504796,1.016883117,0.822898032,0.888757396
2019/1/21,1.343838897,2.386562806,1.016883117,0.822898032,0.888757396
2019/1/22,1.343135195,2.381537086,1.014285714,0.821109123,0.885207101
2019/1/23,1.3417779,2.372285883,1.018181818,0.822898032,0.888757396
2019/1/24,1.341196237,2.368180457,1.018181818,0.820214669,0.89112426
2019/1/25,1.340532837,2.363959333,1.022077922,0.827370304,0.888757396
2019/1/28,1.341537782,2.370342407,1.020779221,0.827370304,0.887573964
2019/1/29,1.341902052,2.373072568,1.022077922,0.827370304,0.888757396
2019/1/30,1.342673173,2.377556659,1.027272727,0.831842576,0.886390533
2019/1/31,1.343991137,2.385247914,1.033766234,0.830948122,0.892307692
2019/2/1,1.342402968,2.37334942,1.02987013,0.831842576,0.893491124
2019/2/4,1.344106786,2.385699371,1.02987013,0.829159213,0.893491124
2019/2/5,1.344567415,2.389448365,1.031168831,0.828264758,0.893491124
2019/2/6,1.344277766,2.387531941,1.028571429,0.823792487,0.895857988
2019/2/7,1.346431294,2.399715104,1.025974026,0.820214669,0.894674556
2019/2/8,1.344567004,2.386700625,1.025974026,0.820214669,0.895857988
2019/2/11,1.344321417,2.385295801,1.022077922,0.816636852,0.894674556
2019/2/12,1.346166385,2.39587737,1.025974026,0.820214669,0.895857988
2019/2/13,1.344510489,2.382883605,1.020779221,0.817531306,0.895857988
